term_iri,term_label,decision,support_count,consensus_ratio,quantity_kind_iri,preferred_unit_label,preferred_qudt_unit_iri,preferred_ucum_code,local_unit_iri,note
https://w3id.org/h2kg/hydrogen-ontology#ACInputAmplitude,AC Input Amplitude,assert_qudt_unit,1,1.0,http://qudt.org/vocab/quantitykind/ElectricPotential,V,http://qudt.org/vocab/unit/V,V,,
https://w3id.org/h2kg/hydrogen-ontology#AbsorptionPeakWavelength,Absorption Peak Wavelength,assert_qudt_unit,4,1.0,https://w3id.org/h2kg/hydrogen-ontology#Wavelength,nm,http://qudt.org/vocab/unit/NanoM,nm,,
https://w3id.org/h2kg/hydrogen-ontology#AcidEtchingRepetitions,Acid Etching Repetitions,assert_qudt_unit,1,1.0,http://qudt.org/vocab/quantitykind/Count,1,http://qudt.org/vocab/unit/UNITLESS,1,,
https://w3id.org/h2kg/hydrogen-ontology#AcidMassUptakeRatio,Acid Mass Uptake Ratio,assert_qudt_unit,1,1.0,http://qudt.org/vocab/quantitykind/Dimensionless,1,http://qudt.org/vocab/unit/UNITLESS,1,,
https://w3id.org/h2kg/hydrogen-ontology#AcidUptakeWeightPercent,Acid Uptake Weight Percent,assert_qudt_unit,7,1.0,http://qudt.org/vocab/quantitykind/MassFractionPercent,%,http://qudt.org/vocab/unit/PERCENT,%,,
https://w3id.org/h2kg/hydrogen-ontology#AcousticFrequency,Acoustic Frequency,assert_local_reviewed_unit,4,1.0,https://w3id.org/h2kg/hydrogen-ontology#Frequency,kHz,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_AcousticFrequency_kHz,QUDT mapping unavailable; attached reviewed local unit placeholder derived from cleaned PEMFC evidence.
https://w3id.org/h2kg/hydrogen-ontology#ActivatedSludgeVolumePercent,Activated Sludge Volume Percent,assert_qudt_unit,1,1.0,http://qudt.org/vocab/quantitykind/Dimensionless,%,http://qudt.org/vocab/unit/PERCENT,%,,
https://w3id.org/h2kg/hydrogen-ontology#ActivationMechanismTimeScale,Activation Mechanism Time Scale,assert_local_reviewed_unit,6,1.0,http://qudt.org/vocab/quantitykind/Time,s,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_ActivationMechanismTimeScale_s,QUDT mapping unavailable; attached reviewed local unit placeholder derived from cleaned PEMFC evidence.
https://w3id.org/h2kg/hydrogen-ontology#AdsorbedAggregateLateralSize,Adsorbed Aggregate Lateral Size,assert_qudt_unit,6,1.0,http://qudt.org/vocab/quantitykind/Length,nm,http://qudt.org/vocab/unit/NanoM,nm,,
https://w3id.org/h2kg/hydrogen-ontology#AgAgClPotentialVsRHE,Ag Ag Cl Potential Vs RHE,assert_qudt_unit,2,1.0,http://qudt.org/vocab/quantitykind/ElectricPotential,V,http://qudt.org/vocab/unit/V,V,,
https://w3id.org/h2kg/hydrogen-ontology#AgNWSurfaceDensity,Ag NW Surface Density,assert_qudt_unit,1,1.0,http://qudt.org/vocab/quantitykind/MassPerArea,mg/m2,http://qudt.org/vocab/unit/MilliGM-PER-M2,mg/m2,,
https://w3id.org/h2kg/hydrogen-ontology#AgNWWeightFraction,Ag NW Weight Fraction,assert_qudt_unit,4,1.0,http://qudt.org/vocab/quantitykind/MassFraction,1,http://qudt.org/vocab/unit/UNITLESS,1,,
https://w3id.org/h2kg/hydrogen-ontology#AgglomerateDiameter,Agglomerate Diameter,assert_qudt_unit,15,1.0,http://qudt.org/vocab/quantitykind/Length,nm,http://qudt.org/vocab/unit/NanoM,nm,,
https://w3id.org/h2kg/hydrogen-ontology#AggregateAspectRatio,Aggregate Aspect Ratio,assert_qudt_unit,2,1.0,http://qudt.org/vocab/quantitykind/AspectRatio,1,http://qudt.org/vocab/unit/UNITLESS,1,,
https://w3id.org/h2kg/hydrogen-ontology#AirDiffusionLayerThicknessFractionInMCL,Air Diffusion Layer Thickness Fraction In MCL,assert_qudt_unit,3,1.0,http://qudt.org/vocab/quantitykind/Percent,%,http://qudt.org/vocab/unit/PERCENT,%,,
https://w3id.org/h2kg/hydrogen-ontology#AlContentWt,Al Content Wt,assert_qudt_unit,3,1.0,http://qudt.org/vocab/quantitykind/MassFraction,1,http://qudt.org/vocab/unit/UNITLESS,1,,
https://w3id.org/h2kg/hydrogen-ontology#AlcoholMassFractionInSolventMixture,Alcohol Mass Fraction In Solvent Mixture,assert_qudt_unit,66,1.0,http://qudt.org/vocab/quantitykind/MassFraction,1,http://qudt.org/vocab/unit/UNITLESS,1,,
https://w3id.org/h2kg/hydrogen-ontology#AlcoholMoleFractionInSolventMixture,Alcohol Mole Fraction In Solvent Mixture,assert_qudt_unit,19,1.0,http://qudt.org/vocab/quantitykind/MoleFraction,1,http://qudt.org/vocab/unit/UNITLESS,1,,
https://w3id.org/h2kg/hydrogen-ontology#AluminumLayerThickness,Aluminum Layer Thickness,assert_qudt_unit,2,1.0,http://qudt.org/vocab/quantitykind/Length,nm,http://qudt.org/vocab/unit/NanoM,nm,,
https://w3id.org/h2kg/hydrogen-ontology#AluminumNitrateMolarConcentration,Aluminum Nitrate Molar Concentration,assert_local_reviewed_unit,1,1.0,http://qudt.org/vocab/quantitykind/AmountOfSubstanceConcentration,mM,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_AluminumNitrateMolarConcentration_mM,QUDT mapping unavailable; attached reviewed local unit placeholder derived from cleaned PEMFC evidence.
https://w3id.org/h2kg/hydrogen-ontology#AluminumNitrateSolutionVolumeFraction,Aluminum Nitrate Solution Volume Fraction,assert_qudt_unit,1,1.0,http://qudt.org/vocab/quantitykind/VolumeFraction,1,http://qudt.org/vocab/unit/UNITLESS,1,,
https://w3id.org/h2kg/hydrogen-ontology#AmmoniumCarbonateSolutionConcentration,Ammonium Carbonate Solution Concentration,assert_local_reviewed_unit,1,1.0,http://qudt.org/vocab/quantitykind/AmountOfSubstanceConcentration,M,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_AmmoniumCarbonateSolutionConcentration_M,QUDT mapping unavailable; attached reviewed local unit placeholder derived from cleaned PEMFC evidence.
https://w3id.org/h2kg/hydrogen-ontology#AngularFrequency,Angular Frequency,assert_local_reviewed_unit,2,1.0,https://w3id.org/h2kg/hydrogen-ontology#AngularFrequency,rad/s,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_AngularFrequency_rad_s,QUDT mapping unavailable; attached reviewed local unit placeholder derived from cleaned PEMFC evidence.
https://w3id.org/h2kg/hydrogen-ontology#AnionToCationMolarRatio,Anion To Cation Molar Ratio,assert_qudt_unit,2,1.0,http://qudt.org/vocab/quantitykind/DimensionlessRatio,1,http://qudt.org/vocab/unit/UNITLESS,1,,
https://w3id.org/h2kg/hydrogen-ontology#AnnealingDuration,Annealing Duration,assert_local_reviewed_unit,4,1.0,http://qudt.org/vocab/quantitykind/Time,s,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_AnnealingDuration_s,QUDT mapping unavailable; attached reviewed local unit placeholder derived from cleaned PEMFC evidence.
https://w3id.org/h2kg/hydrogen-ontology#AnnealingTemperature,Annealing Temperature,assert_qudt_unit,11,0.917,https://w3id.org/h2kg/hydrogen-ontology#Temperature,°C,http://qudt.org/vocab/unit/DEG_C,Cel,,
https://w3id.org/h2kg/hydrogen-ontology#AnnealingTime,Annealing Time,assert_local_reviewed_unit,6,1.0,http://qudt.org/vocab/quantitykind/Time,s,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_AnnealingTime_s,QUDT mapping unavailable; attached reviewed local unit placeholder derived from cleaned PEMFC evidence.
https://w3id.org/h2kg/hydrogen-ontology#AnodeCatalystLoading,Anode Catalyst Loading,assert_qudt_unit,36,0.857,http://qudt.org/vocab/quantitykind/MassPerArea,mg/cm2,http://qudt.org/vocab/unit/MilliGM-PER-CentiM2,mg/cm2,,
https://w3id.org/h2kg/hydrogen-ontology#AnodeMPLCarbonSupportLoading,Anode MPL Carbon Support Loading,assert_qudt_unit,8,1.0,http://qudt.org/vocab/quantitykind/ArealMassLoading,mg/cm2,http://qudt.org/vocab/unit/MilliGM-PER-CentiM2,mg/cm2,,
https://w3id.org/h2kg/hydrogen-ontology#AnodePotential,Anode Potential,assert_qudt_unit,11,1.0,http://qudt.org/vocab/quantitykind/ElectricPotential,V,http://qudt.org/vocab/unit/V,V,,
https://w3id.org/h2kg/hydrogen-ontology#AnodeReactionResistance,Anode Reaction Resistance,assert_local_reviewed_unit,4,1.0,http://qudt.org/vocab/quantitykind/AreaSpecificResistance,ohm cm2,,Ohm.cm2,https://w3id.org/h2kg/hydrogen-ontology#_Unit_AnodeReactionResistance_ohm_cm2,QUDT mapping unavailable; attached reviewed local unit placeholder derived from cleaned PEMFC evidence.
https://w3id.org/h2kg/hydrogen-ontology#AnodeResistance,Anode Resistance,assert_qudt_unit,6,1.0,http://qudt.org/vocab/quantitykind/ElectricResistance,ohm,http://qudt.org/vocab/unit/OHM,Ohm,,
https://w3id.org/h2kg/hydrogen-ontology#AnodeStoichiometricRatio,Anode Stoichiometric Ratio,assert_qudt_unit,15,1.0,http://qudt.org/vocab/quantitykind/StoichiometricRatio,1,http://qudt.org/vocab/unit/UNITLESS,1,,
https://w3id.org/h2kg/hydrogen-ontology#AreaNormalizedAnodeResistance,Area Normalized Anode Resistance,assert_local_reviewed_unit,5,1.0,http://qudt.org/vocab/quantitykind/AreaSpecificResistance,ohm cm2,,Ohm.cm2,https://w3id.org/h2kg/hydrogen-ontology#_Unit_AreaNormalizedAnodeResistance_ohm_cm2,QUDT mapping unavailable; attached reviewed local unit placeholder derived from cleaned PEMFC evidence.
https://w3id.org/h2kg/hydrogen-ontology#AreaNormalizedCathodeResistance,Area Normalized Cathode Resistance,assert_local_reviewed_unit,5,1.0,http://qudt.org/vocab/quantitykind/AreaSpecificResistance,ohm cm2,,Ohm.cm2,https://w3id.org/h2kg/hydrogen-ontology#_Unit_AreaNormalizedCathodeResistance_ohm_cm2,QUDT mapping unavailable; attached reviewed local unit placeholder derived from cleaned PEMFC evidence.
https://w3id.org/h2kg/hydrogen-ontology#AreaNormalizedOverallResistance,Area Normalized Overall Resistance,assert_local_reviewed_unit,5,1.0,http://qudt.org/vocab/quantitykind/AreaSpecificResistance,ohm cm2,,Ohm.cm2,https://w3id.org/h2kg/hydrogen-ontology#_Unit_AreaNormalizedOverallResistance_ohm_cm2,QUDT mapping unavailable; attached reviewed local unit placeholder derived from cleaned PEMFC evidence.
