workflow_id,source_filename,source_node_id,source_label,native_category,mapping_state,decision,anchor_iri,anchor_label,canonical_role_iri,semantic_role,role_assignment,confidence,evidence
0d-particle-population-degradation-model-coupled-with-performance-model-fitting,0D_Particle_population_degradation_model_coupled_with_performance_model_fitting.graphml,n0,ECSA (aged),component,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/ecsa-aged-component,ECSA (aged),https://w3id.org/h2kg/hydrogen-ontology#Matter,Matter,component_category_default,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting,0D_Particle_population_degradation_model_coupled_with_performance_model_fitting.graphml,n1,Time series of cell voltage,device,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/time-series-of-cell-voltage-device,Time series of cell voltage,https://w3id.org/h2kg/hydrogen-ontology#Data,Data,data_product,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting,0D_Particle_population_degradation_model_coupled_with_performance_model_fitting.graphml,n2,Time series of current density,device,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/time-series-of-current-density-device,Time series of current density,https://w3id.org/h2kg/hydrogen-ontology#Data,Data,data_product,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting,0D_Particle_population_degradation_model_coupled_with_performance_model_fitting.graphml,n3,Catalyst active particle radius distribution (aged),component,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-active-particle-radius-distribution-aged-component,Catalyst active particle radius distribution (aged),https://w3id.org/h2kg/hydrogen-ontology#Data,Data,data_product,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting,0D_Particle_population_degradation_model_coupled_with_performance_model_fitting.graphml,n4,Mass of Pt in the membrane (aged),component,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/mass-of-pt-in-the-membrane-aged-component,Mass of Pt in the membrane (aged),https://w3id.org/h2kg/hydrogen-ontology#Parameter,Parameter,operating_or_geometric_parameter,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting,0D_Particle_population_degradation_model_coupled_with_performance_model_fitting.graphml,n5,CCL thickness,component,approved_h2kg,strict_alt_label,https://w3id.org/h2kg/hydrogen-ontology#CathodeCatalystLayerThickness,Cathode Catalyst Layer Thickness,https://w3id.org/h2kg/hydrogen-ontology#Property,Property,explicit_mapping,high,Reviewed abbreviation for cathode catalyst-layer thickness.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting,0D_Particle_population_degradation_model_coupled_with_performance_model_fitting.graphml,n6,CCL thickness (aged),component,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/ccl-thickness-aged-component,CCL thickness (aged),https://w3id.org/h2kg/hydrogen-ontology#Property,Property,physical_or_derived_property,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting,0D_Particle_population_degradation_model_coupled_with_performance_model_fitting.graphml,n7,Cell crossover current density,device,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/cell-crossover-current-density-device,Cell crossover current density,https://w3id.org/h2kg/hydrogen-ontology#Property,Property,physical_or_derived_property,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting,0D_Particle_population_degradation_model_coupled_with_performance_model_fitting.graphml,n8,Cell operation conditions,device,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/cell-operation-conditions-device,Cell operation conditions,https://w3id.org/h2kg/hydrogen-ontology#Parameter,Parameter,operating_or_geometric_parameter,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting,0D_Particle_population_degradation_model_coupled_with_performance_model_fitting.graphml,n9,Cell high-frequency resistance (aged),device,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/cell-high-frequency-resistance-aged-device,Cell high-frequency resistance (aged),https://w3id.org/h2kg/hydrogen-ontology#Parameter,Parameter,operating_or_geometric_parameter,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
