source_label,native_category,visual_category,occurrence_count,workflow_ids,semantic_role,canonical_role_iri,role_assignment,decision,mapping_state,anchor_iri,confidence,rationale
0D Particle population degradation model (fitting),,model,3,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,workflow_or_analysis,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-fitting-model,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
0D Particle population degradation model (prediction),,model,5,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction; image-tem-data-parameter-extraction-3d; tem-and-eds-analysis-of-mea,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,workflow_or_analysis,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-prediction-model,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
0D Particle population degradation model coupled with performance model (fitting),,model,11,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-prediction; differential-cell-testing; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; iet-ink-to-composition-model; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; microscopy-sem-and-optical-in-mea-cross-section; sem-and-edx; sem-and-fib-layer,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,workflow_or_analysis,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
0D Particle population degradation model coupled with performance model (prediction),,model,44,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-fitting; cea-mea-model-europium-2d; differential-cell-testing; diffusivities-from-tortuosities; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fitting-of-the-europium-model; gdl-compressability; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; iet-composition-to-property-model; iet-ink-to-composition-model; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; image-tem-data-parameter-extraction-3d; microscopy-sem-and-optical-in-mea-cross-section; sem-and-edx; sem-and-fib-layer; tem-and-eds-analysis-of-mea; voxel-based-3d-effective-diffusivity-simulation,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,workflow_or_analysis,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-prediction-model,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Ab-initio molecular dynamics (AIMD) of the solid-liquid interface at a Pt electrode,,method,6,ab-initio-molecular-dynamics-aimd-of-the-solid-liquid-interface-at-a-pt-electrode; dip-and-pull-operando-or-in-situ-xps; irras-operando-or-in-situ-ftir; operando-or-in-situ-xas-photon-out; operando-saxs-or-waxs-small-or-wide-angle-x-ray-spectroscopy; thin-windows-operando-or-in-situ-xps,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,aimd_is_process,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/ab-initio-molecular-dynamics-aimd-of-the-solid-liquid-interface-at-a-pt-electrode-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Accelerated Stress Test (AST) on Nanostructured Electrodes,,method,8,accelerated-stress-test-ast-on-nanostructured-electrodes; dropcasted-ink-on-gc-tips; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/accelerated-stress-test-ast-on-nanostructured-electrodes-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Activation barriers of elementary steps,LRE,device,3,dft-onto-idealized-surfaces; fitting-version-of-the-hierachical-model; hierarchical-model-for-electrocatalytic-reactions,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,lre_category_default,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/activation-barriers-of-elementary-steps-lre,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Active material density in the electrode,material,material,1,adsorbate-surface-diffusion-on-electrocatalyst-support,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/active-material-density-in-the-electrode-material,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Active material macroscopic distribution,material,material,1,adsorbate-surface-diffusion-on-electrocatalyst-support,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,material_category_default,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/active-material-macroscopic-distribution-material,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Active phase,LRE,device,2,development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,lre_active_phase_is_matter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/active-phase-lre,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Additional measurements on PEWE during operation,,method,1,additional-measurements-on-pewe-during-operation,Parameter,https://w3id.org/h2kg/hydrogen-ontology#Parameter,operating_or_geometric_parameter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/additional-measurements-on-pewe-during-operation-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Adsorbate adsorption energies (idealized),LRE,device,2,adsorbate-surface-diffusion-on-electrocatalyst-support; dft-onto-idealized-surfaces,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/adsorbate-adsorption-energies-idealized-lre,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Adsorbate conformation on electrode (idealized),LRE,device,4,dft-onto-idealized-surfaces; hierarchical-model-for-electrocatalytic-reactions; in-situ-fourier-transformed-ir-in-atr-configuration; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer,Data,https://w3id.org/h2kg/hydrogen-ontology#Data,lre_adsorbate_conformation_is_data,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/adsorbate-conformation-on-electrode-idealized-lre,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Adsorbate coverage on electrode (idealized),LRE,device,4,dip-and-pull-operando-or-in-situ-xps; hierarchical-model-for-electrocatalytic-reactions; in-situ-fourier-transformed-ir-in-atr-configuration; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/adsorbate-coverage-on-electrode-idealized-lre,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Adsorbate coverage on electrode (nanostructured),LRE,device,1,thin-windows-operando-or-in-situ-xps,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/adsorbate-coverage-on-electrode-nanostructured-lre,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Adsorbate dipole moments,LRE,device,2,dft-onto-idealized-surfaces; hierarchical-model-for-electrocatalytic-reactions,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,lre_category_default,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/adsorbate-dipole-moments-lre,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Adsorbate Surface Diffusion on Electrocatalyst Support,,method,7,adsorbate-surface-diffusion-on-electrocatalyst-support; dft-onto-idealized-surfaces; rde-on-mono-or-polycrystalline-electrodes; rde-simulation-in-comsol; rrde-on-model-electrodes-in-acidic-solutions; rrde-on-model-electrodes-in-alkaline-solutions; rrde-simulation-in-comsol,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/adsorbate-surface-diffusion-on-electrocatalyst-support-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Adsorbate types on electrode (idealized),LRE,device,5,dft-onto-idealized-surfaces; dip-and-pull-operando-or-in-situ-xps; hierarchical-model-for-electrocatalytic-reactions; in-situ-fourier-transformed-ir-in-atr-configuration; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,lre_adsorbate_types_are_matter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/adsorbate-types-on-electrode-idealized-lre,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Adsorbate types on electrode (nanostructured),LRE,device,2,operando-or-in-situ-xas-photon-out; thin-windows-operando-or-in-situ-xps,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,lre_adsorbate_types_nanostructured_are_matter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/adsorbate-types-on-electrode-nanostructured-lre,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
AI-based generation of structural digital twins of multi-scale tomographies,,model,55,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; fib-sem-on-cl-material; image-classification-of-fib-tomography-data; image-classification-of-x-ray-tomography-data; image-classification-on-nm-scale; image-fib-tomography-dataparameter-extraction-3d; image-x-ray-tomography-data-parameter-extraction-3d; inpt-cl-process-model; ionomer-reconstruction-in-ccl-3d-images; modeling-of-hydrophobic-treatment-of-gdl; modeling-of-mpl-coating-of-gdl; mpl-saturation-determination-from-x-ray-ct-data; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-effective-diffusivity-simulation; voxel-based-3d-electric-conductiviy-simulation; voxel-based-3d-permability-simulation; voxel-based-3d-thermal-conductivity-simulation; water-retention-curve-simulation,Parameter,https://w3id.org/h2kg/hydrogen-ontology#Parameter,operating_or_geometric_parameter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies-model,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
ATR-FTIR cell temperature,device,device,1,in-situ-fourier-transformed-ir-in-atr-configuration,Parameter,https://w3id.org/h2kg/hydrogen-ontology#Parameter,operating_or_geometric_parameter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/atr-ftir-cell-temperature-device,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
ATR-FTIR electrochemical protocol,component,component,1,in-situ-fourier-transformed-ir-in-atr-configuration,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,workflow_or_analysis,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/atr-ftir-electrochemical-protocol-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
ATR-FTIR electrochemical response,component,component,1,in-situ-fourier-transformed-ir-in-atr-configuration,Data,https://w3id.org/h2kg/hydrogen-ontology#Data,data_product,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/atr-ftir-electrochemical-response-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
ATR-FTIR electrode,component,component,2,in-situ-fourier-transformed-ir-in-atr-configuration; prism-preparation-for-atr-ftir,Instrument,https://w3id.org/h2kg/hydrogen-ontology#Instrument,apparatus_or_electrode,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/atr-ftir-electrode-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Binder distribution,component,component,2,image-parameter-extraction-2d; modeling-of-hydrophobic-treatment-of-gdl,Data,https://w3id.org/h2kg/hydrogen-ontology#Data,data_product,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/binder-distribution-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
