id,upstream_method_id,downstream_method_id,upstream_workflow_id,downstream_workflow_id,upstream_occurrence_id,downstream_occurrence_id,declarations,reciprocity_state,handoff_labels,handoff_anchor_iris,predicate,publication_status,review_rationale
manual-dependency-0000-995bf54675,BOSCH-Exp-electrical-tlm-characterization-gdl-defined-compression,BOSCH-Mod-mpl-parameter-estimation-gdl-substrate,electrical-tlm-characterization-of-a-gdl-with-defined-compression,mpl-parameter-estimation-from-gdl-and-substrate-data,electrical-tlm-characterization-of-a-gdl-with-defined-compression::n10,mpl-parameter-estimation-from-gdl-and-substrate-data::n20,input_method; output_method,confirmed_reciprocal,GDL in-plane conductivity; GDL substrate in-plane conductivity,https://w3id.org/h2kg/decode/workflow/anchor/gdl-in-plane-conductivity-component; https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-in-plane-conductivity-component,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0001-553692803c,BOSCH-Exp-electrical-tlm-characterization-gdl-defined-compression,CEA-Mod-europium-2d-mea-model,electrical-tlm-characterization-of-a-gdl-with-defined-compression,cea-mea-model-europium-2d,electrical-tlm-characterization-of-a-gdl-with-defined-compression::n10,cea-mea-model-europium-2d::n72,input_method; output_method,confirmed_reciprocal,GDL substrate in-plane conductivity,https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-in-plane-conductivity-component,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0002-d86d1b56ae,BOSCH-Exp-electrical-tlm-characterization-gdl-defined-compression,CEA-Mod-europium-model-fitting,electrical-tlm-characterization-of-a-gdl-with-defined-compression,fitting-of-the-europium-model,electrical-tlm-characterization-of-a-gdl-with-defined-compression::n10,fitting-of-the-europium-model::n61,input_method; output_method,confirmed_reciprocal,GDL substrate in-plane conductivity,https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-in-plane-conductivity-component,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0003-c53d803c76,BOSCH-Exp-gas-permeability-gdl-defined-compression,BOSCH-Mod-mpl-parameter-estimation-gdl-substrate,gas-permeability-of-a-gdl-with-defined-compression,mpl-parameter-estimation-from-gdl-and-substrate-data,gas-permeability-of-a-gdl-with-defined-compression::n10,mpl-parameter-estimation-from-gdl-and-substrate-data::n20,input_method; output_method,confirmed_reciprocal,GDL in-plane permeability; GDL substrate in-plane permeability; GDL through-plane permeability; GDL substrate through-plane permeability,https://w3id.org/h2kg/decode/workflow/anchor/gdl-in-plane-permeability-component; https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-in-plane-permeability-component; https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-through-plane-permeability-component; https://w3id.org/h2kg/decode/workflow/anchor/gdl-through-plane-permeability-component,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0004-a40cea7dc5,BOSCH-Exp-gas-permeability-gdl-defined-compression,CEA-Mod-europium-2d-mea-model,gas-permeability-of-a-gdl-with-defined-compression,cea-mea-model-europium-2d,gas-permeability-of-a-gdl-with-defined-compression::n10,cea-mea-model-europium-2d::n72,input_method; output_method,confirmed_reciprocal,GDL substrate in-plane permeability; GDL substrate through-plane permeability,https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-in-plane-permeability-component; https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-through-plane-permeability-component,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0005-3c068f8f8a,BOSCH-Exp-gas-permeability-gdl-defined-compression,CEA-Mod-europium-model-fitting,gas-permeability-of-a-gdl-with-defined-compression,fitting-of-the-europium-model,gas-permeability-of-a-gdl-with-defined-compression::n10,fitting-of-the-europium-model::n61,input_method; output_method,confirmed_reciprocal,GDL substrate in-plane permeability; GDL substrate through-plane permeability,https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-in-plane-permeability-component; https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-through-plane-permeability-component,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0006-4bcca06021,BOSCH-Exp-gdl-compressability,BOSCH-Exp-electrical-tlm-characterization-gdl-defined-compression,gdl-compressability,electrical-tlm-characterization-of-a-gdl-with-defined-compression,gdl-compressability::n6,electrical-tlm-characterization-of-a-gdl-with-defined-compression::n10,input_method; output_method,confirmed_reciprocal,GDL thickness; GDL substrate thickness; GDL stress-strain curve; GDL substrate stress-strain curve,https://w3id.org/h2kg/decode/workflow/anchor/gdl-stress-strain-curve-component; https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-stress-strain-curve-component; https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-thickness-component; https://w3id.org/h2kg/hydrogen-ontology#GasDiffusionLayerThickness,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0007-318eaa6a68,BOSCH-Exp-gdl-compressability,BOSCH-Exp-gas-permeability-gdl-defined-compression,gdl-compressability,gas-permeability-of-a-gdl-with-defined-compression,gdl-compressability::n6,gas-permeability-of-a-gdl-with-defined-compression::n10,input_method; output_method,confirmed_reciprocal,GDL thickness; GDL substrate thickness; GDL stress-strain curve; GDL substrate stress-strain curve,https://w3id.org/h2kg/decode/workflow/anchor/gdl-stress-strain-curve-component; https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-stress-strain-curve-component; https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-thickness-component; https://w3id.org/h2kg/hydrogen-ontology#GasDiffusionLayerThickness,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0008-7399d9c044,BOSCH-Exp-gdl-compressability,BOSCH-Mod-mpl-parameter-estimation-gdl-substrate,gdl-compressability,mpl-parameter-estimation-from-gdl-and-substrate-data,gdl-compressability::n6,mpl-parameter-estimation-from-gdl-and-substrate-data::n20,input_method; output_method,confirmed_reciprocal,GDL thickness; GDL substrate thickness,https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-thickness-component; https://w3id.org/h2kg/hydrogen-ontology#GasDiffusionLayerThickness,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0009-b68b5f101a,BOSCH-Exp-gdl-compressability,CEA-Mod-europium-2d-mea-model,gdl-compressability,cea-mea-model-europium-2d,gdl-compressability::n6,cea-mea-model-europium-2d::n72,input_method; output_method,confirmed_reciprocal,GDL substrate thickness; GDL stress-strain curve,https://w3id.org/h2kg/decode/workflow/anchor/gdl-stress-strain-curve-component; https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-thickness-component,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
