source_label,native_category,visual_category,occurrence_count,workflow_count,workflow_ids,recommended_state,note
Fitting of the Europium model,,model,41,41,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; ct-based-capillary-pressure-saturation-curves; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; data-extraction-from-existing-pewe-measurements-u-i-t; determination-of-cl-saturation-by-saxs-or-sans; differential-cell-testing; diffusivities-from-tortuosities; distribution-of-contact-angles-in-ccl-fib-sem-image-from-ionomer-reconstruction; eis-on-pewe-cells; electrical-conductivity; electrical-contact-resistance; electrical-tlm-characterization-of-a-gdl-with-defined-compression; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fitting-of-the-europium-model; gas-permeability-of-a-gdl-with-defined-compression; gdl-compressability; hg-porosimetry-gdl; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; iet-composition-to-property-model; iet-ink-to-composition-model; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; image-x-ray-tomography-data-parameter-extraction-3d; microscopy-sem-and-optical-in-mea-cross-section; mpl-parameter-estimation-from-gdl-and-substrate-data; pulsed-gas-analysis; sem-and-edx; sem-and-fib-layer; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-effective-diffusivity-simulation; voxel-based-3d-electric-conductiviy-simulation; voxel-based-3d-permability-simulation; voxel-based-3d-thermal-conductivity-simulation; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CEA MEA model (Europium 2D),,model,34,34,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; ct-based-capillary-pressure-saturation-curves; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; determination-of-cl-saturation-by-saxs-or-sans; differential-cell-testing; distribution-of-contact-angles-in-ccl-fib-sem-image-from-ionomer-reconstruction; electrical-conductivity; electrical-contact-resistance; electrical-tlm-characterization-of-a-gdl-with-defined-compression; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fitting-of-the-europium-model; gas-permeability-of-a-gdl-with-defined-compression; gdl-compressability; hg-porosimetry-gdl; iet-1d-performance-model-for-mea-fitting; iet-composition-to-property-model; iet-ink-to-composition-model; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; image-x-ray-tomography-data-parameter-extraction-3d; microscopy-sem-and-optical-in-mea-cross-section; mpl-parameter-estimation-from-gdl-and-substrate-data; sem-and-edx; sem-and-fib-layer; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-effective-diffusivity-simulation; voxel-based-3d-electric-conductiviy-simulation; voxel-based-3d-permability-simulation; voxel-based-3d-thermal-conductivity-simulation; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Image FIB tomography dataparameter extraction 3D,,data,34,28,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; accelerated-stress-test-ast-on-nanostructured-electrodes; ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; differential-cell-testing; diffusivities-from-tortuosities; eis-on-nanostructured-electrodes; fib-sem-on-cl-material; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; iet-composition-to-property-model; iet-ink-to-composition-model; image-classification-of-fib-tomography-data; image-classification-on-nm-scale; image-fib-tomography-dataparameter-extraction-3d; inpt-cl-process-model; ionomer-reconstruction-in-ccl-3d-images; irras-operando-or-in-situ-ftir; model-electrochemistry-in-a-rde-cell; modeling-of-mpl-coating-of-gdl; prism-preparation-for-atr-ftir; rotating-ring-disk-electrode-rrde,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Image parameter extraction 2D,,method,55,28,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; accelerated-stress-test-ast-on-nanostructured-electrodes; cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; differential-cell-testing; diffusivities-from-tortuosities; eis-on-nanostructured-electrodes; electrical-conductivity; electrical-contact-resistance; electrical-tlm-characterization-of-a-gdl-with-defined-compression; fitting-of-the-europium-model; gas-permeability-of-a-gdl-with-defined-compression; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; iet-composition-to-property-model; iet-ink-to-composition-model; image-parameter-extraction-2d; ionomer-reconstruction-in-ccl-3d-images; irras-operando-or-in-situ-ftir; model-electrochemistry-in-a-rde-cell; mpl-parameter-estimation-from-gdl-and-substrate-data; prism-preparation-for-atr-ftir; rotating-ring-disk-electrode-rrde; sem-and-edx,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Impregnation by immersion and blade coating,,process,27,27,cl-for-rde; contact-angle-extraction-of-ct-data; ct-based-capillary-pressure-saturation-curves; determination-of-cl-saturation-by-saxs-or-sans; dropcasted-ink-on-gc-tips; electrical-conductivity; electrical-contact-resistance; electrical-tlm-characterization-of-a-gdl-with-defined-compression; electrospray-deposition-of-catalyst-layers; external-contact-angle-of-a-gdl; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; gas-permeability-of-a-gdl-with-defined-compression; gde-catalytic-layer-preparation; gde-cell-for-electrochemical-studies; gdl-compressability; hg-porosimetry-gdl; impregnation-by-immersion-and-blade-coating; lab-ct-measurements-on-gdl-or-mpl-materials; mea-assembly-for-pefc-ref-mea; mechanical-properties-of-catalyst-layers-gdls-and-meas-by-small-punch-and-nanoindentation; mpl-saturation-determination-from-x-ray-ct-data; neutron-imaging; pulsed-gas-analysis; sem-and-edx; sem-and-fib-layer; synch-ct-measurements-on-gdl-or-mpl-materials; wilhelmy-wettability-measurement,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
0D Particle population degradation model coupled with performance model (prediction),,model,44,25,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-fitting; cea-mea-model-europium-2d; differential-cell-testing; diffusivities-from-tortuosities; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fitting-of-the-europium-model; gdl-compressability; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; iet-composition-to-property-model; iet-ink-to-composition-model; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; image-tem-data-parameter-extraction-3d; microscopy-sem-and-optical-in-mea-cross-section; sem-and-edx; sem-and-fib-layer; tem-and-eds-analysis-of-mea; voxel-based-3d-effective-diffusivity-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
IET 1D Performance model for MEA (prediction),,model,24,24,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; ct-based-capillary-pressure-saturation-curves; differential-cell-testing; diffusivities-from-tortuosities; distribution-of-contact-angles-in-ccl-fib-sem-image-from-ionomer-reconstruction; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fitting-of-the-europium-model; gdl-compressability; hg-porosimetry-gdl; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; iet-composition-to-property-model; iet-ink-to-composition-model; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; image-x-ray-tomography-data-parameter-extraction-3d; microscopy-sem-and-optical-in-mea-cross-section; sem-and-edx; sem-and-fib-layer; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-effective-diffusivity-simulation; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Electrospray deposition of Catalyst Layers,,process,39,23,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med2; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m2; determination-of-cl-saturation-by-saxs-or-sans; development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; electron-tomography-for-pt-c-and-ionomer-distribution-in-cl; electrospray-deposition-of-catalyst-layers; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fib-sem-on-cl-material; gde-cell-for-electrochemical-studies; high-resolution-electron-tomography-for-accessing-pt-and-ionomer-distribution-on-carbon-aggregate; impregnation-by-immersion-and-blade-coating; ink-preparation-for-deposition-of-catalytic-layers; mea-assembly-for-pefc-ref-mea; mechanical-properties-of-catalyst-layers-gdls-and-meas-by-small-punch-and-nanoindentation; mpl-saturation-determination-from-x-ray-ct-data; neutron-imaging; pulsed-gas-analysis; roller-mixer-and-zirconia-beads-for-ref-pefc-inks; rotating-ring-disk-electrode-rrde; sem-and-fib-layer; sheet-resistance-measurement; tem-and-eds-analysis-of-mea; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Diffusivities from tortuosities,,method,22,22,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; diffusivities-from-tortuosities; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fitting-of-the-europium-model; gdl-compressability; hg-porosimetry-gdl; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-prediction; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; image-x-ray-tomography-data-parameter-extraction-3d; microscopy-sem-and-optical-in-mea-cross-section; mpl-parameter-estimation-from-gdl-and-substrate-data; sem-and-edx; sem-and-fib-layer; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-effective-diffusivity-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
IET 1D MEA with water transport EIS model,,model,22,22,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; ct-based-capillary-pressure-saturation-curves; differential-cell-testing; diffusivities-from-tortuosities; distribution-of-contact-angles-in-ccl-fib-sem-image-from-ionomer-reconstruction; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fitting-of-the-europium-model; gdl-compressability; iet-1d-mea-with-water-transport-eis-model; iet-1d-performance-model-for-mea-fitting; iet-composition-to-property-model; iet-ink-to-composition-model; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; image-x-ray-tomography-data-parameter-extraction-3d; microscopy-sem-and-optical-in-mea-cross-section; sem-and-edx; sem-and-fib-layer; simulation-of-two-phase-3d-apparent-properties; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
