source_dependency_id,workflow_id,source_kind,source_occurrence_id,source_node_id,source_graphml_id,source_label,source_semantic_role,source_anchor_iri,target_occurrence_id,target_node_id,target_graphml_id,target_label,target_semantic_role,target_anchor_iri,source_description,projection_outcome,projection_pattern,semantic_predicates,semantic_edge_ids,semantic_direction,confidence,review_status,rationale
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e0,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n0,n0,n0,ECSA (aged),Matter,https://w3id.org/h2kg/decode/workflow/anchor/ecsa-aged-component,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n15,n15,n15,0D Particle population degradation model coupled with performance model (fitting),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,,h2kg_direct,activity_input_material,https://w3id.org/h2kg/hydrogen-ontology#hasInputMaterial,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e0::0dda1a7c8b,reversed_from_source,rule_curated,classified,Activity consumes the source material; H2KG direction is activity to material.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e1,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n1,n1,n1,Time series of cell voltage,Data,https://w3id.org/h2kg/decode/workflow/anchor/time-series-of-cell-voltage-device,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n15,n15,n15,0D Particle population degradation model coupled with performance model (fitting),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,,h2kg_direct,activity_input_data,https://w3id.org/h2kg/hydrogen-ontology#hasInputData,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e1::15d20a4596,reversed_from_source,rule_curated,classified,Activity consumes the source data; H2KG direction is activity to data.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e2,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n2,n2,n2,Time series of current density,Data,https://w3id.org/h2kg/decode/workflow/anchor/time-series-of-current-density-device,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n15,n15,n15,0D Particle population degradation model coupled with performance model (fitting),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,,h2kg_direct,activity_input_data,https://w3id.org/h2kg/hydrogen-ontology#hasInputData,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e2::111c5c6d59,reversed_from_source,rule_curated,classified,Activity consumes the source data; H2KG direction is activity to data.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e3,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n3,n3,n3,Catalyst active particle radius distribution (aged),Data,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-active-particle-radius-distribution-aged-component,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n15,n15,n15,0D Particle population degradation model coupled with performance model (fitting),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,,h2kg_direct,activity_input_data,https://w3id.org/h2kg/hydrogen-ontology#hasInputData,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e3::ce599cebc0,reversed_from_source,rule_curated,classified,Activity consumes the source data; H2KG direction is activity to data.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e4,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n4,n4,n4,Mass of Pt in the membrane (aged),Parameter,https://w3id.org/h2kg/decode/workflow/anchor/mass-of-pt-in-the-membrane-aged-component,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n15,n15,n15,0D Particle population degradation model coupled with performance model (fitting),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,,h2kg_direct,activity_parameter,https://w3id.org/h2kg/hydrogen-ontology#hasParameter,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e4::7e8db45ebf,reversed_from_source,rule_curated,classified,Activity uses the source parameter; H2KG direction is activity to parameter.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e5,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n5,n5,n5,CCL thickness,Property,https://w3id.org/h2kg/hydrogen-ontology#CathodeCatalystLayerThickness,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n15,n15,n15,0D Particle population degradation model coupled with performance model (fitting),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,,h2kg_reified,property_value_input,https://w3id.org/h2kg/hydrogen-ontology#hasInputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e5::081d3e391f; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e5::293a654a60,reified_projection,rule_curated,classified,Property-valued source is reified as a DataPoint consumed by the activity.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e6,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n6,n6,n6,CCL thickness (aged),Property,https://w3id.org/h2kg/decode/workflow/anchor/ccl-thickness-aged-component,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n15,n15,n15,0D Particle population degradation model coupled with performance model (fitting),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,,h2kg_reified,property_value_input,https://w3id.org/h2kg/hydrogen-ontology#hasInputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e6::8375ea3433; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e6::40ee263764,reified_projection,rule_curated,classified,Property-valued source is reified as a DataPoint consumed by the activity.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e7,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n7,n7,n7,Cell crossover current density,Property,https://w3id.org/h2kg/decode/workflow/anchor/cell-crossover-current-density-device,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n15,n15,n15,0D Particle population degradation model coupled with performance model (fitting),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,,h2kg_reified,property_value_input,https://w3id.org/h2kg/hydrogen-ontology#hasInputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e7::aa9eb080ab; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e7::fcdff24bf5,reified_projection,rule_curated,classified,Property-valued source is reified as a DataPoint consumed by the activity.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e8,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n8,n8,n8,Cell operation conditions,Parameter,https://w3id.org/h2kg/decode/workflow/anchor/cell-operation-conditions-device,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n15,n15,n15,0D Particle population degradation model coupled with performance model (fitting),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,,h2kg_direct,activity_parameter,https://w3id.org/h2kg/hydrogen-ontology#hasParameter,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e8::f7d0871194,reversed_from_source,rule_curated,classified,Activity uses the source parameter; H2KG direction is activity to parameter.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e9,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n9,n9,n9,Cell high-frequency resistance (aged),Parameter,https://w3id.org/h2kg/decode/workflow/anchor/cell-high-frequency-resistance-aged-device,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n15,n15,n15,0D Particle population degradation model coupled with performance model (fitting),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,,h2kg_direct,activity_parameter,https://w3id.org/h2kg/hydrogen-ontology#hasParameter,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e9::ff45d302c8,reversed_from_source,rule_curated,classified,Activity uses the source parameter; H2KG direction is activity to parameter.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e10,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n15,n15,n15,0D Particle population degradation model coupled with performance model (fitting),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n10,n10,n10,Catalyst dissolution rate constant,Property,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-dissolution-rate-constant-component,,h2kg_reified,property_value_output,https://w3id.org/h2kg/hydrogen-ontology#hasOutputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e10::45e07a0a67; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e10::fa41e51434,reified_projection,rule_curated,classified,Activity produces a DataPoint representing the target property.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e11,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n15,n15,n15,0D Particle population degradation model coupled with performance model (fitting),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n11,n11,n11,Catalyst re-deposition rate constant,Property,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-re-deposition-rate-constant-component,,h2kg_reified,property_value_output,https://w3id.org/h2kg/hydrogen-ontology#hasOutputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e11::985981e9bc; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e11::3bdf5b1999,reified_projection,rule_curated,classified,Activity produces a DataPoint representing the target property.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e12,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n15,n15,n15,0D Particle population degradation model coupled with performance model (fitting),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n12,n12,n12,Catalyst coagulation rate constant,Property,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-coagulation-rate-constant-component,,h2kg_reified,property_value_output,https://w3id.org/h2kg/hydrogen-ontology#hasOutputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e12::01c59425cc; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e12::cf520e0b0e,reified_projection,rule_curated,classified,Activity produces a DataPoint representing the target property.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e13,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n15,n15,n15,0D Particle population degradation model coupled with performance model (fitting),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n13,n13,n13,Catalyst deactivation rate constant,Property,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-deactivation-rate-constant-component,,h2kg_reified,property_value_output,https://w3id.org/h2kg/hydrogen-ontology#hasOutputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e13::18aaade75d; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e13::0c53656c91,reified_projection,rule_curated,classified,Activity produces a DataPoint representing the target property.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e14,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n15,n15,n15,0D Particle population degradation model coupled with performance model (fitting),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n14,n14,n14,Catalyst surface tension,Property,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-surface-tension-component,,h2kg_reified,property_value_output,https://w3id.org/h2kg/hydrogen-ontology#hasOutputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e14::ef49dcc505; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e14::67ac79e150,reified_projection,rule_curated,classified,Activity produces a DataPoint representing the target property.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e15,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n10,n10,n10,Catalyst dissolution rate constant,Property,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-dissolution-rate-constant-component,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n16,n16,n16,0D Particle population degradation model (prediction),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-prediction-model,,h2kg_reified,property_value_input,https://w3id.org/h2kg/hydrogen-ontology#hasInputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e15::1a5c01196f; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e15::fa41e51434,reified_projection,rule_curated,classified,Property-valued source is reified as a DataPoint consumed by the activity.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e16,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n11,n11,n11,Catalyst re-deposition rate constant,Property,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-re-deposition-rate-constant-component,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n16,n16,n16,0D Particle population degradation model (prediction),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-prediction-model,,h2kg_reified,property_value_input,https://w3id.org/h2kg/hydrogen-ontology#hasInputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e16::f944bf72e7; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e16::3bdf5b1999,reified_projection,rule_curated,classified,Property-valued source is reified as a DataPoint consumed by the activity.
