io_id,label,stage,direction,pdf_page,coverage_status,evidence
IO_CMP_CatalystSupportRatio,Catalyst-support ratio mPtC,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ICRatio,I/C-ratio mIC,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_IonomerCatalystDispersionParameter,Ionomer-catalyst dispersion parameter kA,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_TotalPoreVolume,Total pore volume Vpores,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_MAT_CatalystPoreSizeDistribution_phi1,Volume fraction of primary pores inside CCL phi1,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_MAT_CatalystPoreSizeDistribution_phi2,Volume fraction of secondary pores inside CCL phi2,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_MAT_CatalystPoreSizeDistribution_rMu1,Mean pore radius for CCL primary pores rMu1,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_MAT_CatalystPoreSizeDistribution_rMu2,Mean pore radius for CCL secondary pores rMu2,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_MAT_CatalystPoreSizeDistribution_sigmaR1,Standard deviation for CCL primary pores sigmaR1,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_MAT_CatalystPoreSizeDistribution_sigmaR2,Standard deviation for CCL primary pores sigmaR2,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_IonomerCatalystDegreeAlignment_deltaDAC,Ionomer-catalyst degree of alignment deltaDAC,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_IonomerCatalystDegreeAlignment_deltaDAPt,Ionomer-catalyst degree of alignment deltaDAPt,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_IonomerCatalystDegreeAlignment_deltaDAinf,Ionomer-catalyst degree of alignment deltaDAinf,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_MAT_CatalystSupportContactAngle,Catalyst support contact angle thetaC,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_MAT_CatalystActiveParticleContactAngle,Catalyst active particle contact angle thetaPt,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_MAT_IonomerContactAngles_thetaHI,Ionomer contact angle of HI pores thetaHI,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_MAT_IonomerContactAngles_thetaHO,Ionomer contact angles of HO pores thetaHO,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_MAT_IonomerInitialFilmThickness,Ionomer initial film thickness t0,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_MeanPoreRadiusInsideTheIonomer,Mean pore radius inside the ionomer rIon,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_MAT_CatalystActiveParticleDiameter,Catalyst active particle diameter rPt,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_SurfaceTensionOfWaterAtT353k,Surface tension of water at T = 353K gamma,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
