section,field,example_value,classification,h2kg_anchor,note
org,ExperimentTitle,FIB tomography of NMC111 electrode,instance metadata,h2kg:hasMetadata + dcterms:title,Stored on the source-record metadata node.
org,ExperimentID,7,instance metadata,h2kg:hasMetadata + h2kg:hasIdentifier,Stored as a literal identifier on the source-record metadata node.
org,Measurement-ID,Run derived DOI,instance metadata,h2kg:hasMetadata + h2kg:hasIdentifier,Stored as a literal identifier on the measurement metadata node.
org,UploadDate,2021-12-15,instance metadata,h2kg:hasMetadata + dcterms:date,Stored as a normalized upload-date literal on the source record.
org,MeasurementDate,,not modeled,-,No value was present in the FIB-SEM sheet.
org,Institution,HZB,instance metadata,prov:Agent,Represented as an institutional agent instance.
org,FoundingBody,Helmholtz Imaging (HI),instance metadata,prov:Agent,Represented as a funding-body agent instance.
org,Country,Germany,instance metadata,h2kg:hasMetadata,Retained as contextual metadata on the source record.
org,Author,Markus Osenberg; Andre Colliard,instance metadata,prov:Agent,Represented as author agent instances linked from the source record and publication metadata.
org,ORCID,123-465-7123; 321-321-3211,instance metadata,h2kg:hasMetadata,Stored on author metadata nodes.
org,Email,mark.osen@hzb.de; andyhuebsch@gmail.mx,instance metadata,h2kg:hasMetadata,Stored on author metadata nodes.
org,Published,TRUE,instance metadata,h2kg:hasMetadata,Retained as publication-status metadata.
org,Publication,FIB tomography of NMC111 electrode,instance metadata,h2kg:hasMetadata + dcterms:title,Stored on a publication metadata node.
org,DOI,https://doi.org/10.3390/1077778,instance metadata,h2kg:hasMetadata + dcterms:identifier,Stored on a publication metadata node.
org,Journal,Nature Communications,instance metadata,h2kg:hasMetadata,Retained as bibliographic metadata.
org,Volume,12,instance metadata,h2kg:hasMetadata,Retained as bibliographic metadata.
org,Issue,4,instance metadata,h2kg:hasMetadata,Retained as bibliographic metadata.
org,Pages,123-321,instance metadata,h2kg:hasMetadata,Retained as bibliographic metadata.
org,PublicationDate,2021-09-17,instance metadata,h2kg:hasMetadata + dcterms:issued,Stored as a normalized issued-date literal on the publication metadata node.
org,Topic,Battery,instance metadata,h2kg:hasMetadata,Retained as thematic metadata.
org,Device,Lithium-ion battery,instance metadata,h2kg:hasMetadata,Retained as application-context metadata.
org,Component,Electrode,instance metadata,h2kg:hasMetadata,Retained as component-context metadata.
org,Subcomponent,-,not modeled,-,The sheet explicitly reports no subcomponent value.
org,Granularity Level,Nanostructure,instance metadata,h2kg:hasMetadata,Retained as scale/granularity metadata.
org,Format,tiff,instance metadata,h2kg:hasMetadata + dcterms:format,Stored on raw-dataset metadata.
org,FileSize,1250,instance metadata,h2kg:hasMetadata + dcterms:extent,Stored with file-size unit in dataset metadata.
org,FileSizeUnit,MB,instance metadata,h2kg:hasMetadata + dcterms:extent,Stored with file size in dataset metadata.
org,FileName,batNMC111.zip,instance metadata,h2kg:hasMetadata,Stored on raw-dataset metadata.
org,DimensionX,1024,instance metadata,h2kg:hasMetadata,Stored on raw-dataset metadata.
org,DimensionY,1024,instance metadata,h2kg:hasMetadata,Stored on raw-dataset metadata.
org,DimensionZ,1000,instance metadata,h2kg:hasMetadata,Stored on raw-dataset metadata.
org,PixelPerMetric,14,instance metadata,h2kg:hasMetadata,Stored on raw-dataset metadata.
