method_profile,h2kg_iri,preferred_label,alternative_labels,semantic_role,expected_value_form,cardinality_or_condition,qudt_guidance,source_evidence_field,metadata_boundary
afm,https://w3id.org/h2kg/hydrogen-ontology#AtomicForceMicroscopyMeasurement,Atomic Force Microscopy Measurement,AFM; atomic force microscopy; AFM imaging,measurement,workflow occurrence,one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer",Method identity; source citation or record identifier.
afm,https://w3id.org/h2kg/hydrogen-ontology#Matter,Matter,,input material/sample context,IRI or linked material record,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Sample, composition, and preparation details may remain metadata."
afm,https://w3id.org/h2kg/hydrogen-ontology#AFMInstrument,AFM Instrument,Agilent 5500 AFM microscope; Multimode 8 AFM (Bruker); AFM (NanoMan VS; atomic force microscope,instrument,linked instrument occurrence,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer",Brand/model belongs in metadata.
afm,https://w3id.org/h2kg/hydrogen-ontology#MicrostructureImageDataset,Microstructure Image Dataset,,raw dataset,linked data occurrence,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","File, detector, and local storage details belong in metadata."
afm,https://w3id.org/h2kg/hydrogen-ontology#AFMScanSpeed,AFM Scan Speed,scan speed; AFM line scan rate,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/HZ; quantity kind http://qudt.org/vocab/quantitykind/Frequency.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
afm,https://w3id.org/h2kg/hydrogen-ontology#AFMTipNominalRadius,AFM Tip Nominal Radius,tip radius; AFM tip radius,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/NanoM; quantity kind http://qudt.org/vocab/quantitykind/Length.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
afm,https://w3id.org/h2kg/hydrogen-ontology#MicroscopyMeasuredArea,Microscopy Measured Area,measured surface area; measured area,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/MicroM2; quantity kind http://qudt.org/vocab/quantitykind/Area.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
afm,https://w3id.org/h2kg/hydrogen-ontology#Temperature,Temperature,cell temperature; operating temperature; room temperature,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/DEG_C; quantity kind http://qudt.org/vocab/quantitykind/ThermodynamicTemperature.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
afm,https://w3id.org/h2kg/hydrogen-ontology#RelativeHumidity,Relative Humidity,RH; humidification; Relative humidity A/C,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/PERCENT; quantity kind http://qudt.org/vocab/quantitykind/RelativeHumidity.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
afm,https://w3id.org/h2kg/hydrogen-ontology#CantileverSpringConstant,Cantilever Spring Constant,spring constant 2.8 N/m; typical spring constant 2.8 N/m,conditional parameter,quantity value when numeric,conditional when reported or method-defining,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
afm,https://w3id.org/h2kg/hydrogen-ontology#CantileverResonanceFrequency,Cantilever Resonance Frequency,,conditional parameter,quantity value when numeric,conditional when reported or method-defining,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
afm,https://w3id.org/h2kg/hydrogen-ontology#MeanParticleSize,Mean Particle Size,particle size; average particle size; aggregate size,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
afm,https://w3id.org/h2kg/hydrogen-ontology#Metadata,Metadata,,contextual metadata,metadata node,optional,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","AFM mode, tip model, sensitivity, resolution, and local file details remain metadata unless reusable across cases."
