method_profile,h2kg_iri,preferred_label,alternative_labels,semantic_role,expected_value_form,cardinality_or_condition,qudt_guidance,source_evidence_field,metadata_boundary
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#FIBSEMTomographyMeasurement,FIBSEM Tomography Measurement,FIB-SEM tomography; FIB-SEM,measurement,workflow occurrence,one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer",Method identity; source citation or record identifier.
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#Matter,Matter,,input material/sample context,IRI or linked material record,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Sample, composition, and preparation details may remain metadata."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#FIBSEMInstrument,FIB SEM Instrument,FIB-SEM; dual-beam FIB-SEM; focused ion beam scanning electron microscope,instrument,linked instrument occurrence,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer",Brand/model belongs in metadata.
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#SEMImageDataset,SEM Image Dataset,SEM images; SEM surface images; FIB-SEM images,raw dataset,linked data occurrence,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","File, detector, and local storage details belong in metadata."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#IonBeamEnergy,Ion Beam Energy,FIB acceleration energy,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/KiloEV; quantity kind http://qudt.org/vocab/quantitykind/Energy.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#IonBeamCurrent,Ion Beam Current,gallium beam current; FIB current,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/PicoA; quantity kind http://qudt.org/vocab/quantitykind/ElectricCurrent.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#ElectronBeamEnergy,Electron Beam Energy,SEM beam energy,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/KiloEV; quantity kind http://qudt.org/vocab/quantitykind/Energy.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#ElectronCurrent,Electron Current,SEM beam current,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/PicoA; quantity kind http://qudt.org/vocab/quantitykind/ElectricCurrent.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#VoxelSize,Voxel Size,pixel size; nm/voxel,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/NanoM; quantity kind http://qudt.org/vocab/quantitykind/Length.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#SliceNumber,Slice Number,number of slices,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit not supplied; quantity kind http://qudt.org/vocab/quantitykind/Count.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#CutThickness,Cut Thickness,slice thickness; milling thickness,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/NanoM; quantity kind http://qudt.org/vocab/quantitykind/Length.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#StageTilt,Stage Tilt,tilt angle,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/DEG; quantity kind http://qudt.org/vocab/quantitykind/PlaneAngle.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#DwellTime,Dwell Time,hold time; immersion time; equilibration time,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/HR; quantity kind http://qudt.org/vocab/quantitykind/Time.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#ExposureTime,Exposure Time,,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/SEC; quantity kind http://qudt.org/vocab/quantitykind/Time.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#Magnification,Magnification,image magnification; TEM magnification; SEM magnification,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/UNITLESS; quantity kind http://qudt.org/vocab/quantitykind/Dimensionless.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#MicroscopyMeasuredArea,Microscopy Measured Area,measured surface area; measured area,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/MicroM2; quantity kind http://qudt.org/vocab/quantitykind/Area.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#Temperature,Temperature,cell temperature; operating temperature; room temperature,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/DEG_C; quantity kind http://qudt.org/vocab/quantitykind/ThermodynamicTemperature.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#RelativeHumidity,Relative Humidity,RH; humidification; Relative humidity A/C,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/PERCENT; quantity kind http://qudt.org/vocab/quantitykind/RelativeHumidity.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#VacuumChamberPressure,Vacuum Chamber Pressure,vacuum pressure,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/ATM; quantity kind http://qudt.org/vocab/quantitykind/Pressure.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#TotalAcquisitionTime,Total Acquisition Time,total scan time,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/HR; quantity kind http://qudt.org/vocab/quantitykind/Time.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#TotalPorosity,Total Porosity,% porosity,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#GeodesicTortuosity,Geodesic Tortuosity,mean geodesic tortuosity,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#Constrictivity,Constrictivity,bottleneck constrictivity,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
fib_sem,https://w3id.org/h2kg/hydrogen-ontology#Metadata,Metadata,,contextual metadata,metadata node,optional,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Instrument settings not represented by reusable parameters, segmentation choices, and file details remain metadata."
