method_profile,h2kg_iri,preferred_label,alternative_labels,semantic_role,expected_value_form,cardinality_or_condition,qudt_guidance,source_evidence_field,metadata_boundary
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#ICSEMImagingMeasurement,IC-SEM Imaging Measurement,IC-SEM; ion-cut SEM; ion-cut scanning electron microscopy,measurement,workflow occurrence,one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer",Method identity; source citation or record identifier.
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#Matter,Matter,,input material/sample context,IRI or linked material record,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Sample, composition, and preparation details may remain metadata."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#ICSEMInstrument,IC-SEM Instrument,ion-cut SEM instrument; cross-section polisher SEM setup,instrument,linked instrument occurrence,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer",Brand/model belongs in metadata.
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#SEMImageDataset,SEM Image Dataset,SEM images; SEM surface images; FIB-SEM images,raw dataset,linked data occurrence,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","File, detector, and local storage details belong in metadata."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#IonBeamEnergy,Ion Beam Energy,FIB acceleration energy,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/KiloV; quantity kind http://qudt.org/vocab/quantitykind/ElectricPotential.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#IonBeamCurrent,Ion Beam Current,gallium beam current; FIB current,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/PicoA; quantity kind http://qudt.org/vocab/quantitykind/ElectricCurrent.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#ElectronBeamEnergy,Electron Beam Energy,SEM beam energy,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/KiloV; quantity kind http://qudt.org/vocab/quantitykind/ElectricPotential.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#ElectronCurrent,Electron Current,SEM beam current,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/PicoA; quantity kind http://qudt.org/vocab/quantitykind/ElectricCurrent.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#PixelSize,Pixel Size,image pixel size; nm per pixel,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/NanoM; quantity kind http://qudt.org/vocab/quantitykind/Length.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#CutThickness,Cut Thickness,slice thickness; milling thickness,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/NanoM; quantity kind http://qudt.org/vocab/quantitykind/Length.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#DwellTime,Dwell Time,hold time; immersion time; equilibration time,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/HR; quantity kind http://qudt.org/vocab/quantitykind/Time.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
