method_profile,h2kg_iri,preferred_label,alternative_labels,semantic_role,expected_value_form,cardinality_or_condition,qudt_guidance,source_evidence_field,metadata_boundary
neutron_tomography,https://w3id.org/h2kg/hydrogen-ontology#NeutronTomographyMeasurement,Neutron Tomography Measurement,HR Neutron CT; operando neutron tomography,measurement,workflow occurrence,one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer",Method identity; source citation or record identifier.
neutron_tomography,https://w3id.org/h2kg/hydrogen-ontology#Matter,Matter,,input material/sample context,IRI or linked material record,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Sample, composition, and preparation details may remain metadata."
neutron_tomography,https://w3id.org/h2kg/hydrogen-ontology#NeutronTomographyInstrument,Neutron Tomography Instrument,neutron tomography setup,instrument,linked instrument occurrence,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer",Brand/model belongs in metadata.
neutron_tomography,https://w3id.org/h2kg/hydrogen-ontology#TomographicProjectionDataset,Tomographic Projection Dataset,projection dataset; raw tomography projections,raw dataset,linked data occurrence,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","File, detector, and local storage details belong in metadata."
neutron_tomography,https://w3id.org/h2kg/hydrogen-ontology#PixelSize,Pixel Size,image pixel size; nm per pixel,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/MicroM; quantity kind http://qudt.org/vocab/quantitykind/Length.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
neutron_tomography,https://w3id.org/h2kg/hydrogen-ontology#ExposureTime,Exposure Time,,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/SEC; quantity kind http://qudt.org/vocab/quantitykind/Time.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
neutron_tomography,https://w3id.org/h2kg/hydrogen-ontology#ProjectionNumber,Projection Number,projection count; number of projections,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit not supplied; quantity kind http://qudt.org/vocab/quantitykind/Count.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
neutron_tomography,https://w3id.org/h2kg/hydrogen-ontology#NeutronFlux,Neutron Flux,incident neutron flux,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit not supplied; quantity kind not supplied.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
neutron_tomography,https://w3id.org/h2kg/hydrogen-ontology#SpatialResolution,Spatial Resolution,tomography spatial resolution,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/MicroM; quantity kind http://qudt.org/vocab/quantitykind/Length.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
neutron_tomography,https://w3id.org/h2kg/hydrogen-ontology#SampleDetectorDistance,Sample Detector Distance,sample-to-detector distance,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/MilliM; quantity kind http://qudt.org/vocab/quantitykind/Length.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
neutron_tomography,https://w3id.org/h2kg/hydrogen-ontology#Temperature,Temperature,cell temperature; operating temperature; room temperature,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/DEG_C; quantity kind http://qudt.org/vocab/quantitykind/ThermodynamicTemperature.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
neutron_tomography,https://w3id.org/h2kg/hydrogen-ontology#RelativeHumidity,Relative Humidity,RH; humidification; Relative humidity A/C,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/PERCENT; quantity kind http://qudt.org/vocab/quantitykind/RelativeHumidity.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
neutron_tomography,https://w3id.org/h2kg/hydrogen-ontology#TortuosityFactor,Tortuosity Factor,TauFactor tortuosity,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
neutron_tomography,https://w3id.org/h2kg/hydrogen-ontology#AverageWaterDropletArea,Average Water Droplet Area,average droplet area; AverageArea,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
neutron_tomography,https://w3id.org/h2kg/hydrogen-ontology#AverageWaterDropletCount,Average Water Droplet Count,average droplet count; AverageNumber,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
neutron_tomography,https://w3id.org/h2kg/hydrogen-ontology#Metadata,Metadata,,contextual metadata,metadata node,optional,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Facility, beamline, detector, holder, and ambiguous source descriptors remain metadata."
