method_profile,h2kg_iri,preferred_label,alternative_labels,semantic_role,expected_value_form,cardinality_or_condition,qudt_guidance,source_evidence_field,metadata_boundary
synchrotron_xray_tomography,https://w3id.org/h2kg/hydrogen-ontology#XRayComputedTomographyMeasurement,X Ray Computed Tomography Measurement,x-ray computed tomography; X-ray tomography; X-ray CT,measurement,workflow occurrence,one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer",Method identity; source citation or record identifier.
synchrotron_xray_tomography,https://w3id.org/h2kg/hydrogen-ontology#Matter,Matter,,input material/sample context,IRI or linked material record,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Sample, composition, and preparation details may remain metadata."
synchrotron_xray_tomography,https://w3id.org/h2kg/hydrogen-ontology#XRayCTInstrument,X Ray CT Instrument,X-ray CT; X-ray computed tomography,instrument,linked instrument occurrence,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer",Brand/model belongs in metadata.
synchrotron_xray_tomography,https://w3id.org/h2kg/hydrogen-ontology#TomographicProjectionDataset,Tomographic Projection Dataset,projection dataset; raw tomography projections,raw dataset,linked data occurrence,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","File, detector, and local storage details belong in metadata."
synchrotron_xray_tomography,https://w3id.org/h2kg/hydrogen-ontology#XRayBeamEnergy,X Ray Beam Energy,beam energy,conditional parameter,quantity value when numeric,conditional when reported or method-defining,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
synchrotron_xray_tomography,https://w3id.org/h2kg/hydrogen-ontology#ExposureTime,Exposure Time,,conditional parameter,quantity value when numeric,conditional when reported or method-defining,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
synchrotron_xray_tomography,https://w3id.org/h2kg/hydrogen-ontology#PixelSize,Pixel Size,image pixel size; nm per pixel,conditional parameter,quantity value when numeric,conditional when reported or method-defining,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
synchrotron_xray_tomography,https://w3id.org/h2kg/hydrogen-ontology#ProjectionNumber,Projection Number,projection count; number of projections,conditional parameter,quantity value when numeric,conditional when reported or method-defining,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
synchrotron_xray_tomography,https://w3id.org/h2kg/hydrogen-ontology#SpatialResolution,Spatial Resolution,tomography spatial resolution,conditional parameter,quantity value when numeric,conditional when reported or method-defining,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
synchrotron_xray_tomography,https://w3id.org/h2kg/hydrogen-ontology#SampleDetectorDistance,Sample Detector Distance,sample-to-detector distance,conditional parameter,quantity value when numeric,conditional when reported or method-defining,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
synchrotron_xray_tomography,https://w3id.org/h2kg/hydrogen-ontology#Temperature,Temperature,cell temperature; operating temperature; room temperature,conditional parameter,quantity value when numeric,conditional when reported or method-defining,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
synchrotron_xray_tomography,https://w3id.org/h2kg/hydrogen-ontology#RelativeHumidity,Relative Humidity,RH; humidification; Relative humidity A/C,conditional parameter,quantity value when numeric,conditional when reported or method-defining,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
synchrotron_xray_tomography,https://w3id.org/h2kg/hydrogen-ontology#Magnification,Magnification,image magnification; TEM magnification; SEM magnification,conditional parameter,quantity value when numeric,conditional when reported or method-defining,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
synchrotron_xray_tomography,https://w3id.org/h2kg/hydrogen-ontology#Metadata,Metadata,,contextual metadata,metadata node,optional,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Facility, beamline, detector, sample-holder, and deferred output semantics remain metadata."
