method_profile,h2kg_iri,preferred_label,alternative_labels,semantic_role,expected_value_form,cardinality_or_condition,qudt_guidance,source_evidence_field,metadata_boundary
tem,https://w3id.org/h2kg/hydrogen-ontology#TransmissionElectronMicroscopyImaging,Transmission Electron Microscopy Imaging,TEM; transmission electron microscopy; TEM imaging,measurement,workflow occurrence,one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer",Method identity; source citation or record identifier.
tem,https://w3id.org/h2kg/hydrogen-ontology#Matter,Matter,,input material/sample context,IRI or linked material record,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Sample, composition, and preparation details may remain metadata."
tem,https://w3id.org/h2kg/hydrogen-ontology#TEMInstrument,TEM Instrument,TEM; HR TEM; JEM-2100 (HR) TEM,instrument,linked instrument occurrence,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer",Brand/model belongs in metadata.
tem,https://w3id.org/h2kg/hydrogen-ontology#MicrostructureImageDataset,Microstructure Image Dataset,,raw dataset,linked data occurrence,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","File, detector, and local storage details belong in metadata."
tem,https://w3id.org/h2kg/hydrogen-ontology#AcceleratingVoltage,Accelerating Voltage,SEM operating voltage; TEM accelerating voltage; acceleration voltage,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/KiloV; quantity kind http://qudt.org/vocab/quantitykind/ElectricPotential.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
tem,https://w3id.org/h2kg/hydrogen-ontology#Magnification,Magnification,image magnification; TEM magnification; SEM magnification,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/UNITLESS; quantity kind http://qudt.org/vocab/quantitykind/Dimensionless.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
tem,https://w3id.org/h2kg/hydrogen-ontology#WorkingDistance,Working Distance,objective-to-specimen distance; pole-piece distance; SEM working distance,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/MilliM; quantity kind http://qudt.org/vocab/quantitykind/Length.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
tem,https://w3id.org/h2kg/hydrogen-ontology#Temperature,Temperature,cell temperature; operating temperature; room temperature,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/DEG_C; quantity kind http://qudt.org/vocab/quantitykind/ThermodynamicTemperature.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
tem,https://w3id.org/h2kg/hydrogen-ontology#RelativeHumidity,Relative Humidity,RH; humidification; Relative humidity A/C,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/PERCENT; quantity kind http://qudt.org/vocab/quantitykind/RelativeHumidity.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
tem,https://w3id.org/h2kg/hydrogen-ontology#VacuumChamberPressure,Vacuum Chamber Pressure,vacuum pressure,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/ATM; quantity kind http://qudt.org/vocab/quantitykind/Pressure.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
tem,https://w3id.org/h2kg/hydrogen-ontology#PdNanoparticleDiameter,Pd Nanoparticle Diameter,diameter of Pd nanoparticles,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
tem,https://w3id.org/h2kg/hydrogen-ontology#Metadata,Metadata,,contextual metadata,metadata node,optional,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Detector, grid, specimen descriptors, file details, and publication details remain metadata."
