method_profile,h2kg_iri,preferred_label,alternative_labels,semantic_role,expected_value_form,cardinality_or_condition,qudt_guidance,source_evidence_field,metadata_boundary
xps,https://w3id.org/h2kg/hydrogen-ontology#XRayPhotoelectronSpectroscopyMeasurement,X Ray Photoelectron Spectroscopy Measurement,X-ray photoelectron spectroscopy,measurement,workflow occurrence,one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer",Method identity; source citation or record identifier.
xps,https://w3id.org/h2kg/hydrogen-ontology#Matter,Matter,,input material/sample context,IRI or linked material record,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Sample, composition, and preparation details may remain metadata."
xps,https://w3id.org/h2kg/hydrogen-ontology#XPSInstrument,XPS Instrument,X-ray photoelectron spectrometer; photoelectron spectrometer; XPS spectrometer,instrument,linked instrument occurrence,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer",Brand/model belongs in metadata.
xps,https://w3id.org/h2kg/hydrogen-ontology#XPSDataset,XPS Dataset,XPS spectra; XPS elemental composition tables; XPS elemental composition,raw dataset,linked data occurrence,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","File, detector, and local storage details belong in metadata."
xps,https://w3id.org/h2kg/hydrogen-ontology#XPSPassEnergy,XPS Pass Energy,analyzer pass energy; pass energy,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/EV; quantity kind http://qudt.org/vocab/quantitykind/Energy.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
xps,https://w3id.org/h2kg/hydrogen-ontology#XPSTakeOffAngle,XPS Take Off Angle,take-off angle; photoelectron take-off angle; emission angle,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/DEG; quantity kind http://qudt.org/vocab/quantitykind/PlaneAngle.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
xps,https://w3id.org/h2kg/hydrogen-ontology#XPSAnalysisArea,XPS Analysis Area,analysis area; analysis spot area,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/MicroM2; quantity kind http://qudt.org/vocab/quantitykind/Area.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
xps,https://w3id.org/h2kg/hydrogen-ontology#BindingEnergy,Binding Energy,XPS peak binding energy; XPS binding energy,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
xps,https://w3id.org/h2kg/hydrogen-ontology#C1sAtomicPercent,C 1 s Atomic Percent,C atomic percent; carbon atomic percent,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
xps,https://w3id.org/h2kg/hydrogen-ontology#O1sAtomicPercent,O 1 s Atomic Percent,O atomic percent; oxygen atomic percent,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
xps,https://w3id.org/h2kg/hydrogen-ontology#F1sAtomicPercent,F 1 s Atomic Percent,,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
xps,https://w3id.org/h2kg/hydrogen-ontology#N1sAtomicPercent,N 1 s Atomic Percent,N-contents; N atomic percent; nitrogen atomic percent,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
xps,https://w3id.org/h2kg/hydrogen-ontology#CarbonToOxygenAtomRatio,Carbon To Oxygen Atom Ratio,C/O atom ratio; C/O; C/0 atom ratio,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
xps,https://w3id.org/h2kg/hydrogen-ontology#MetalAtomicPercent,Metal Atomic Percent,Metal %,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
xps,https://w3id.org/h2kg/hydrogen-ontology#Metadata,Metadata,,contextual metadata,metadata node,optional,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Spectral fitting conventions, instrument brand/model, and source-specific preparation details remain metadata."
