method_profile,h2kg_iri,preferred_label,alternative_labels,semantic_role,expected_value_form,cardinality_or_condition,qudt_guidance,source_evidence_field,metadata_boundary
xrd,https://w3id.org/h2kg/hydrogen-ontology#XRayDiffractionMeasurement,X Ray Diffraction Measurement,XRD; X-ray diffraction; XRD measurement,measurement,workflow occurrence,one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer",Method identity; source citation or record identifier.
xrd,https://w3id.org/h2kg/hydrogen-ontology#Matter,Matter,,input material/sample context,IRI or linked material record,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Sample, composition, and preparation details may remain metadata."
xrd,https://w3id.org/h2kg/hydrogen-ontology#XRayDiffractometer,X Ray Diffractometer,Philips PW1830 diffractometer; X'Pert PRO diffractometer; Panalytical Empyrean diffractometer,instrument,linked instrument occurrence,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer",Brand/model belongs in metadata.
xrd,https://w3id.org/h2kg/hydrogen-ontology#XRDPatternDataset,XRD Pattern Dataset,XRD patterns; XRD pattern,raw dataset,linked data occurrence,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","File, detector, and local storage details belong in metadata."
xrd,https://w3id.org/h2kg/hydrogen-ontology#XRayWavelength,X Ray Wavelength,,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/NanoM; quantity kind http://qudt.org/vocab/quantitykind/Wavelength.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
xrd,https://w3id.org/h2kg/hydrogen-ontology#XRDStepSize,XRD Step Size,step size,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/DEG; quantity kind http://qudt.org/vocab/quantitykind/PlaneAngle.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
xrd,https://w3id.org/h2kg/hydrogen-ontology#XRDTwoThetaStart,XRD Two Theta Start,,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/DEG; quantity kind http://qudt.org/vocab/quantitykind/PlaneAngle.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
xrd,https://w3id.org/h2kg/hydrogen-ontology#XRDTwoThetaEnd,XRD Two Theta End,,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/DEG; quantity kind http://qudt.org/vocab/quantitykind/PlaneAngle.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
xrd,https://w3id.org/h2kg/hydrogen-ontology#DiffractionPeakPosition2Theta,Diffraction Peak Position 2 Theta,diffraction peak position; diffraction peak at 2θ; (002) peak position,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
xrd,https://w3id.org/h2kg/hydrogen-ontology#XRDPeakFWHM,XRD Peak FWHM,FWHM,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
xrd,https://w3id.org/h2kg/hydrogen-ontology#PtCrystalliteSize,Pt Crystallite Size,Pt crystallite size (XRD); Scherrer; mean crystallite size,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
xrd,https://w3id.org/h2kg/hydrogen-ontology#TheoreticalMetalSurfaceArea,Theoretical Metal Surface Area,SA; maximum theoretical metal surface area; SA(Pt),derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
xrd,https://w3id.org/h2kg/hydrogen-ontology#Metadata,Metadata,,contextual metadata,metadata node,optional,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Sample-holder, scan implementation details, fitting choices, and bibliographic details remain metadata."
