subject_iri,term_type,draft_label,draft_definition,draft_comment,draft_source,approved,overwrite_existing
https://w3id.org/h2kg/hydrogen-ontology#ACAmplitude,controlled_vocabulary_term,ACAmplitude,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing ACAmplitude.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing ACAmplitude.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#ACInputAmplitude,controlled_vocabulary_term,AC Input Amplitude,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing AC Input Amplitude.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing AC Input Amplitude.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AbsorptionPeakWavelength,controlled_vocabulary_term,Absorption Peak Wavelength,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Absorption Peak Wavelength.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Absorption Peak Wavelength.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AcceleratingVoltage,controlled_vocabulary_term,Accelerating Voltage,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Accelerating Voltage.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Accelerating Voltage.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AcceleratingVoltage_2,controlled_vocabulary_term,Accelerating Voltage,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Accelerating Voltage.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Accelerating Voltage.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AceticAcidSolution,controlled_vocabulary_term,Acetic Acid Solution,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Acetic Acid Solution.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Acetic Acid Solution.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#Acetonitrile,controlled_vocabulary_term,Acetonitrile,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Acetonitrile.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Acetonitrile.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#Acetonitrile_2,controlled_vocabulary_term,Acetonitrile,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Acetonitrile.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Acetonitrile.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AcetyleneBlackCarbonBlack,controlled_vocabulary_term,Acetylene Black Carbon Black,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Acetylene Black Carbon Black.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Acetylene Black Carbon Black.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AcidDopedPAAPVAHydrogel,controlled_vocabulary_term,Acid Doped PAAPVA Hydrogel,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Acid Doped PAAPVA Hydrogel.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Acid Doped PAAPVA Hydrogel.,heuristic,no,no
