term_iri,term_label,decision,support_count,consensus_ratio,quantity_kind_iri,preferred_unit_label,preferred_qudt_unit_iri,preferred_ucum_code,local_unit_iri,note
https://w3id.org/h2kg/hydrogen-ontology#AcceleratingVoltage,Accelerating Voltage,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/PhotonEnergy,keV,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_XRayBeamEnergy_keV,Applied unit through exact alias match `keV` from `X Ray Beam Energy`.
https://w3id.org/h2kg/hydrogen-ontology#CatalystLayerAcidLoadingDetermination,Catalyst Layer Acid Loading Determination,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/AmountOfSubstancePerArea,umol/cm2,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_PhosphoricAcidLoading_umol_cm2,Applied unit through exact alias match `H3PO4 in CL` from `Phosphoric Acid Loading`.
https://w3id.org/h2kg/hydrogen-ontology#CellActiveArea_2,Cell Active Area,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Area,cm2,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_CellActiveArea_cm2,Applied unit through exact alias match `Cell Active Area` from `Cell Active Area`.
https://w3id.org/h2kg/hydrogen-ontology#DLSScatteringAngle_2,DLS Scattering Angle,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Angle,deg,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_DLSScatteringAngle_deg,Applied unit through exact alias match `DLS Scattering Angle` from `DLS Scattering Angle`.
https://w3id.org/h2kg/hydrogen-ontology#DiffractionPeakPosition2Theta_2,Diffraction Peak Position 2 Theta,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/PlaneAngle,deg,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_DiffractionPeakPosition2Theta_deg,Applied unit through exact alias match `Diffraction Peak Position 2 Theta` from `Diffraction Peak Position 2 Theta`.
https://w3id.org/h2kg/hydrogen-ontology#DipropyleneGlycol,Dipropylene Glycol,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/SolubilityParameter,MPa^0.5,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_SolubilityParameterTotal_MPa_0_5,Applied unit through exact alias match `DPG` from `Solubility Parameter Total`.
https://w3id.org/h2kg/hydrogen-ontology#DirectInkWriting2,Direct Ink Writing 2,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Speed,mm/s,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_PrintSpeed_mm_s,Applied unit through exact alias match `Print Speed` from `Print Speed`.
https://w3id.org/h2kg/hydrogen-ontology#EISMaxFrequency_2,EIS Max Frequency,assert_alias_local_reviewed_unit,0,,https://w3id.org/h2kg/hydrogen-ontology#Frequency,Hz,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_EISMaxFrequency_Hz,Applied unit through exact alias match `EIS Max Frequency` from `EIS Max Frequency`.
https://w3id.org/h2kg/hydrogen-ontology#EISMinFrequency_2,EIS Min Frequency,assert_alias_local_reviewed_unit,0,,https://w3id.org/h2kg/hydrogen-ontology#Frequency,Hz,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_EISMinFrequency_Hz,Applied unit through exact alias match `EIS Min Frequency` from `EIS Min Frequency`.
https://w3id.org/h2kg/hydrogen-ontology#EthylAcetate,Ethyl Acetate,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Mass,g,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_EthylAcetateMassInInk_g,Applied unit through exact alias match `Ethyl Acetate` from `Ethyl Acetate Mass In Ink`.
https://w3id.org/h2kg/hydrogen-ontology#_Unit_GravimetricSpecificCapacitance_F_g,F/g,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/CapacitancePerMass,F/g,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_GravimetricSpecificCapacitance_F_g,Applied unit through exact alias match `F/g` from `Gravimetric Specific Capacitance`.
https://w3id.org/h2kg/hydrogen-ontology#_Unit_Gloss_GU,GU,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Dimensionless,GU,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_Gloss_GU,Applied unit through exact alias match `GU` from `Gloss`.
https://w3id.org/h2kg/hydrogen-ontology#GUNdopedCarbonCatalyst,GU Ndoped Carbon Catalyst,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Dimensionless,GU,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_Gloss_GU,Applied unit through exact alias match `GU` from `Gloss`.
https://w3id.org/h2kg/hydrogen-ontology#GeometricArea_2,Geometric Area,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Area,cm2,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_GeometricArea_cm2,Applied unit through exact alias match `Geometric Area` from `Geometric Area`.
https://w3id.org/h2kg/hydrogen-ontology#HeatingRate,Heating Rate,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/TemperatureRate,°C/min,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_RampRate_C_min,Applied unit through exact alias match `ramp rate` from `Ramp Rate`.
https://w3id.org/h2kg/hydrogen-ontology#HotPressTime_2,Hot Press Time,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Time,s,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_HotPressTime_s,Applied unit through exact alias match `Hot Press Time` from `Hot Press Time`.
https://w3id.org/h2kg/hydrogen-ontology#KetonicResin,Ketonic Resin,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Mass,g,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_KetonicResinMass_g,Applied unit through exact alias match `Ketonic Resin` from `Ketonic Resin Mass`.
https://w3id.org/h2kg/hydrogen-ontology#MercaptosuccinicAcid,Mercaptosuccinic Acid,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/ElectricCurrentPerMass,A/g_Pt,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_MassActivity_A_g_Pt,Applied unit through exact alias match `MSA` from `Mass Activity`.
https://w3id.org/h2kg/hydrogen-ontology#NafionBackboneSolubilityParameter_2,Nafion Backbone Solubility Parameter,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/SolubilityParameter,cal^0.5 /cm.5,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_NafionBackboneSolubilityParameter_cal_0_5_cm_5,Applied unit through exact alias match `Nafion Backbone Solubility Parameter` from `Nafion Backbone Solubility Parameter`.
https://w3id.org/h2kg/hydrogen-ontology#NafionSideChainSolubilityParameter_2,Nafion Side Chain Solubility Parameter,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/SolubilityParameter,cal^0.5 /cm.5,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_NafionSideChainSolubilityParameter_cal_0_5_cm_5,Applied unit through exact alias match `Nafion Side Chain Solubility Parameter` from `Nafion Side Chain Solubility Parameter`.
https://w3id.org/h2kg/hydrogen-ontology#NanoparticleMassConcentration,Nanoparticle Mass Concentration,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/MassConcentration,g/L,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_BathSoluteMassConcentration_g_L,Applied unit through exact alias match `g/L` from `Bath Solute Mass Concentration`.
https://w3id.org/h2kg/hydrogen-ontology#PigmentCyan153,Pigment Cyan 153,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Mass,g,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_PigmentCyan153Mass_g,Applied unit through exact alias match `pigment Cyan 15:3` from `Pigment Cyan 153 Mass`.
https://w3id.org/h2kg/hydrogen-ontology#PlasticizerATBC,Plasticizer ATBC,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Mass,g,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_PlasticizerATBCMass_g,Applied unit through exact alias match `Plasticizer ATBC` from `Plasticizer ATBC Mass`.
https://w3id.org/h2kg/hydrogen-ontology#PotassiumIodide,Potassium Iodide,assert_alias_local_reviewed_unit,0,,https://w3id.org/h2kg/hydrogen-ontology#ThermalConductivity,W /m K-1,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_ThermalConductivity_W_m_K_1,Applied unit through exact alias match `KI` from `Thermal Conductivity`.
https://w3id.org/h2kg/hydrogen-ontology#PtHydrogenAdsorptionSpecificCharge_2,Pt Hydrogen Adsorption Specific Charge,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/ElectricChargePerArea,μC/cm2_Pt,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_PtHydrogenAdsorptionSpecificCharge_C_cm2_Pt,Applied unit through exact alias match `Pt Hydrogen Adsorption Specific Charge` from `Pt Hydrogen Adsorption Specific Charge`.
https://w3id.org/h2kg/hydrogen-ontology#RestTime,Rest Time,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Time,s,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_ShearMixingRestTime_s,Applied unit through exact alias match `Rest Time` from `Shear Mixing Rest Time`.
https://w3id.org/h2kg/hydrogen-ontology#SolubilityParameterTotal_2,Solubility Parameter Total,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/SolubilityParameter,MPa^0.5,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_SolubilityParameterTotal_MPa_0_5,Applied unit through exact alias match `Solubility Parameter Total` from `Solubility Parameter Total`.
https://w3id.org/h2kg/hydrogen-ontology#StirringTime_2,Stirring Time,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Time,s,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_InkMixingTime_s,Applied unit through exact alias match `Stirring Time` from `Ink Mixing Time`.
https://w3id.org/h2kg/hydrogen-ontology#TotalPoreVolume_2,Total Pore Volume,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/VolumePerMass,cm3/g,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_TotalPoreVolume_cm3_g,Applied unit through exact alias match `Total Pore Volume` from `Total Pore Volume`.
https://w3id.org/h2kg/hydrogen-ontology#UVIrradiationTime,UV Irradiation Time,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Time,s,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_UVExposureTime_s,Applied unit through exact alias match `UV exposure time` from `UV Exposure Time`.
https://w3id.org/h2kg/hydrogen-ontology#VacuumDryingTime_2,Vacuum Drying Time,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Time,s,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_VacuumDryingTime_s,Applied unit through exact alias match `Vacuum Drying Time` from `Vacuum Drying Time`.
https://w3id.org/h2kg/hydrogen-ontology#VisibleLightLamp,Visible Light Lamp,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Power,W,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_LightSourcePower_W,Applied unit through exact alias match `300 W lamp` from `Light Source Power`.
https://w3id.org/h2kg/hydrogen-ontology#XenonLamp,Xenon Lamp,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Power,W,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_LightSourcePower_W,Applied unit through exact alias match `350 W Xenon lamp` from `Light Source Power`.
https://w3id.org/h2kg/hydrogen-ontology#_Unit_GasFlowRate_ccm,ccm,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/VolumetricFlowRate,ccm,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_GasFlowRate_ccm,Applied unit through exact alias match `ccm` from `Gas Flow Rate`.
https://w3id.org/h2kg/hydrogen-ontology#_Unit_CurrentEfficiency_cd_A,cd/A,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/LuminousIntensityPerCurrent,cd/A,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_CurrentEfficiency_cd_A,Applied unit through exact alias match `cd/A` from `Current Efficiency`.
https://w3id.org/h2kg/hydrogen-ontology#_Unit_BendingFrequency_cycles_min,cycles/min,assert_alias_local_reviewed_unit,0,,https://w3id.org/h2kg/hydrogen-ontology#Frequency,cycles/min,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_BendingFrequency_cycles_min,Applied unit through exact alias match `cycles/min` from `Bending Frequency`.
https://w3id.org/h2kg/hydrogen-ontology#_Unit_MetalMassPerOilMass_g_100_g,g/100 g,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/MassFraction,g/100 g,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_OxiraneContent_g_100_g,Applied unit through exact alias match `g/100 g` from `Oxirane Content`.
https://w3id.org/h2kg/hydrogen-ontology#_Unit_OxiraneContent_g_100_g,g/100 g,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/MassFraction,g/100 g,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_OxiraneContent_g_100_g,Applied unit through exact alias match `g/100 g` from `Oxirane Content`.
https://w3id.org/h2kg/hydrogen-ontology#_Unit_BathSoluteMassConcentration_g_L,g/L,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/MassConcentration,g/L,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_BathSoluteMassConcentration_g_L,Applied unit through exact alias match `g/L` from `Bath Solute Mass Concentration`.
https://w3id.org/h2kg/hydrogen-ontology#_Unit_NafionToPtMassRatio_g_g,g/g,assert_alias_local_reviewed_unit,0,,http://qudt.org/vocab/quantitykind/Time,s,,,https://w3id.org/h2kg/hydrogen-ontology#_Unit_GelPointTime_s,Applied unit through exact alias match `g/g` from `Gel Point Time`.
