subject_iri,term_type,draft_label,draft_definition,draft_comment,draft_source,approved,overwrite_existing
https://w3id.org/h2kg/hydrogen-ontology#AAOTemplateRemoval,controlled_vocabulary_term,AAO Template Removal,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing AAO Template Removal.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing AAO Template Removal.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#ACAmplitude,controlled_vocabulary_term,ACAmplitude,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing ACAmplitude.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing ACAmplitude.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AcidLeachingProcess,controlled_vocabulary_term,Acid Leaching Process,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Acid Leaching Process.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Acid Leaching Process.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#ActivityStabilityFactor,controlled_vocabulary_term,Activity Stability Factor,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Activity Stability Factor.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Activity Stability Factor.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AdditiveManufacturing3DPrinting,controlled_vocabulary_term,Additive Manufacturing 3 D Printing,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Additive Manufacturing 3 D Printing.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Additive Manufacturing 3 D Printing.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AdsorptionSpecificCapacitance_IrOx,controlled_vocabulary_term,Adsorption Specific Capacitance Ir Ox,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Adsorption Specific Capacitance Ir Ox.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Adsorption Specific Capacitance Ir Ox.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AgAgCl,controlled_vocabulary_term,Ag/AgCl,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Ag/AgCl.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Ag/AgCl.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#Agent,class,Agent,A class in the H2KG PEMFC Catalyst Layer Application Ontology representing Agent.,A class in the H2KG PEMFC Catalyst Layer Application Ontology representing Agent.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AirbrushSprayCoating,controlled_vocabulary_term,Airbrush Spray Coating,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Airbrush Spray Coating.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Airbrush Spray Coating.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AlfaAesarPremionIrOxCatalyst,controlled_vocabulary_term,Alfa Aesar Premion Ir Ox Catalyst,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Alfa Aesar Premion Ir Ox Catalyst.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Alfa Aesar Premion Ir Ox Catalyst.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AluminaFoil,controlled_vocabulary_term,Alumina Foil,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Alumina Foil.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Alumina Foil.,heuristic,no,no
