Acetic Acid Solution | https://w3id.org/h2kg/hydrogen-ontology#AceticAcidSolution | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Acetone | https://w3id.org/h2kg/hydrogen-ontology#Acetone | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=4
Acetonitrile | https://w3id.org/h2kg/hydrogen-ontology#Acetonitrile | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Acetylene Black Carbon Black | https://w3id.org/h2kg/hydrogen-ontology#AcetyleneBlackCarbonBlack | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Acid Doped PAAPVA Hydrogel | https://w3id.org/h2kg/hydrogen-ontology#AcidDopedPAAPVAHydrogel | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Acid Doping | https://w3id.org/h2kg/hydrogen-ontology#AcidDoping | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Acid Leached Steam Activated Fe NC Catalyst | https://w3id.org/h2kg/hydrogen-ontology#AcidLeachedSteamActivatedFeNCCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Acid Uptake Dataset | https://w3id.org/h2kg/hydrogen-ontology#AcidUptakeDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=1
Activated Carbon | https://w3id.org/h2kg/hydrogen-ontology#ActivatedCarbon | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=3
Activated Sludge | https://w3id.org/h2kg/hydrogen-ontology#ActivatedSludge | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Additive A | https://w3id.org/h2kg/hydrogen-ontology#AdditiveA | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Aemion Ionomer | https://w3id.org/h2kg/hydrogen-ontology#AemionIonomer | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
AFM Instrument | https://w3id.org/h2kg/hydrogen-ontology#AFMInstrument | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Ag/AgCl | https://w3id.org/h2kg/hydrogen-ontology#AgAgCl | type=https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29 | incoming_refs=9
Agglomerate Shape | https://w3id.org/h2kg/hydrogen-ontology#AgglomerateShape | type=https://w3id.org/h2kg/hydrogen-ontology#Parameter | incoming_refs=2
Agglomerate Size Distribution Dataset | https://w3id.org/h2kg/hydrogen-ontology#AgglomerateSizeDistributionDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=6
Air | https://w3id.org/h2kg/hydrogen-ontology#Air | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Air Breathing Cathode | https://w3id.org/h2kg/hydrogen-ontology#AirBreathingCathode | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=4
Air Diffusion Layer | https://w3id.org/h2kg/hydrogen-ontology#AirDiffusionLayer | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Alkali Lignin | https://w3id.org/h2kg/hydrogen-ontology#AlkaliLignin | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Alkylpolyglycoside Surfactant | https://w3id.org/h2kg/hydrogen-ontology#AlkylpolyglycosideSurfactant | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Alumina | https://w3id.org/h2kg/hydrogen-ontology#Alumina | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Alumina Milling Media | https://w3id.org/h2kg/hydrogen-ontology#AluminaMillingMedia | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Aluminum Foil | https://w3id.org/h2kg/hydrogen-ontology#AluminumFoil | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Aluminum Foil Substrate | https://w3id.org/h2kg/hydrogen-ontology#AluminumFoilSubstrate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Aluminum Nitrate Additive | https://w3id.org/h2kg/hydrogen-ontology#AluminumNitrateAdditive | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Aluminum Substrate | https://w3id.org/h2kg/hydrogen-ontology#AluminumSubstrate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Aluminum Thin Film Layer | https://w3id.org/h2kg/hydrogen-ontology#AluminumThinFilmLayer | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Aminoantipyrine | https://w3id.org/h2kg/hydrogen-ontology#Aminoantipyrine | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Aminopropyltriethoxysilane | https://w3id.org/h2kg/hydrogen-ontology#Aminopropyltriethoxysilane | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
