local_iri,local_label,local_kind,relation,target_iri,target_label,target_kind,source,score,status,rationale
https://w3id.org/h2kg/hydrogen-ontology#ATRFTIRMeasurement,ATRFTIR Measurement,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.652,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
https://w3id.org/h2kg/hydrogen-ontology#AcidDoping,Acid Doping,controlled_vocabulary_term,,http://purl.obolibrary.org/obo/CHEBI_30751,Formic acid,class,chebi,0.636,rejected_chemical_non_exact,Rejected because ChEBI mappings are limited to exact or manually curated chemical matches in this phase.
https://w3id.org/h2kg/hydrogen-ontology#AcidDoping,Acid Doping,controlled_vocabulary_term,,http://purl.obolibrary.org/obo/CHEBI_17883,Hydrochloric acid,class,chebi,0.571,rejected_chemical_non_exact,Rejected because ChEBI mappings are limited to exact or manually curated chemical matches in this phase.
https://w3id.org/h2kg/hydrogen-ontology#AcidDoping,Acid Doping,controlled_vocabulary_term,,http://purl.obolibrary.org/obo/CHEBI_29241,Hydrofluoric acid,class,chebi,0.571,rejected_chemical_non_exact,Rejected because ChEBI mappings are limited to exact or manually curated chemical matches in this phase.
https://w3id.org/h2kg/hydrogen-ontology#AcidUptakeMeasurement,Acid Uptake Measurement,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.56,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
https://w3id.org/h2kg/hydrogen-ontology#AcidValue,Acid Value,controlled_vocabulary_term,,http://qudt.org/schema/qudt/QuantityValue,Quantity value,class,qudt-schema,0.667,rejected_qudt_scaffold,Rejected because QUDT quantity-value scaffolding is not a suitable target for this domain concept.
https://w3id.org/h2kg/hydrogen-ontology#AcidValue,Acid Value,controlled_vocabulary_term,,http://qudt.org/schema/qudt/quantityValue,quantity value,object_property,qudt-schema,0.667,rejected_kind_mismatch,Rejected because the local term kind and external target kind are not semantically compatible.
https://w3id.org/h2kg/hydrogen-ontology#ArchimedesDensityMeasurement,Archimedes Density Measurement,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.596,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
https://w3id.org/h2kg/hydrogen-ontology#Argon,Argon,controlled_vocabulary_term,,http://www.w3.org/ns/prov#Agent,Agent,class,prov-o,0.6,rejected_metadata_scope,Rejected because the local term is outside the provenance and publication-metadata scope.
https://w3id.org/h2kg/hydrogen-ontology#CarbonDioxidePercent,Carbon Dioxide Percent,controlled_vocabulary_term,,http://purl.obolibrary.org/obo/CHEBI_16526,Carbon dioxide,class,chebi,0.778,rejected_chemical_non_exact,Rejected because ChEBI mappings are limited to exact or manually curated chemical matches in this phase.
https://w3id.org/h2kg/hydrogen-ontology#CarbonFeltElectrode,Carbon Felt Electrode,controlled_vocabulary_term,,http://purl.obolibrary.org/obo/CHEBI_16526,Carbon dioxide,class,chebi,0.571,rejected_chemical_non_exact,Rejected because ChEBI mappings are limited to exact or manually curated chemical matches in this phase.
https://w3id.org/h2kg/hydrogen-ontology#CarbonFiber,Carbon Fiber,controlled_vocabulary_term,,http://purl.obolibrary.org/obo/CHEBI_16526,Carbon dioxide,class,chebi,0.692,rejected_chemical_non_exact,Rejected because ChEBI mappings are limited to exact or manually curated chemical matches in this phase.
https://w3id.org/h2kg/hydrogen-ontology#CarbonFiberDiameter,Carbon Fiber Diameter,controlled_vocabulary_term,,http://purl.obolibrary.org/obo/CHEBI_16526,Carbon dioxide,class,chebi,0.629,rejected_chemical_non_exact,Rejected because ChEBI mappings are limited to exact or manually curated chemical matches in this phase.
https://w3id.org/h2kg/hydrogen-ontology#CarbonMass,Carbon Mass,controlled_vocabulary_term,,http://purl.obolibrary.org/obo/CHEBI_16526,Carbon dioxide,class,chebi,0.56,rejected_chemical_non_exact,Rejected because ChEBI mappings are limited to exact or manually curated chemical matches in this phase.
https://w3id.org/h2kg/hydrogen-ontology#CarbonNanotube,Carbon Nanotube,controlled_vocabulary_term,,http://purl.obolibrary.org/obo/CHEBI_16526,Carbon dioxide,class,chebi,0.621,rejected_chemical_non_exact,Rejected because ChEBI mappings are limited to exact or manually curated chemical matches in this phase.
https://w3id.org/h2kg/hydrogen-ontology#CarbonOxideFractionPercent,Carbon Oxide Fraction Percent,controlled_vocabulary_term,,http://purl.obolibrary.org/obo/CHEBI_16526,Carbon dioxide,class,chebi,0.605,rejected_chemical_non_exact,Rejected because ChEBI mappings are limited to exact or manually curated chemical matches in this phase.
https://w3id.org/h2kg/hydrogen-ontology#CarbonSupport,Carbon Support,controlled_vocabulary_term,,http://purl.obolibrary.org/obo/CHEBI_16526,Carbon dioxide,class,chebi,0.571,rejected_chemical_non_exact,Rejected because ChEBI mappings are limited to exact or manually curated chemical matches in this phase.
https://w3id.org/h2kg/hydrogen-ontology#CarbonYield,Carbon Yield,controlled_vocabulary_term,,http://purl.obolibrary.org/obo/CHEBI_16526,Carbon dioxide,class,chebi,0.692,rejected_chemical_non_exact,Rejected because ChEBI mappings are limited to exact or manually curated chemical matches in this phase.
https://w3id.org/h2kg/hydrogen-ontology#CastorOil,Castor Oil,controlled_vocabulary_term,,https://w3id.org/emmo#EMMO_material,Material,class,emmo-core,0.556,exploratory_candidate,Below the configured close-match threshold; kept only as exploratory output.
https://w3id.org/h2kg/hydrogen-ontology#ChronoamperometryMeasurement,Chronoamperometry Measurement,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.607,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
https://w3id.org/h2kg/hydrogen-ontology#ChronopotentiometryMeasurement,Chronopotentiometry Measurement,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.586,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
https://w3id.org/h2kg/hydrogen-ontology#CoatingMassMeasurement,Coating Mass Measurement,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.627,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
https://w3id.org/h2kg/hydrogen-ontology#CoatingWeightMeasurement,Coating Weight Measurement,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.566,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
https://w3id.org/h2kg/hydrogen-ontology#ContactAngle,Contact Angle,controlled_vocabulary_term,,http://www.w3.org/ns/prov#Agent,Agent,class,prov-o,0.556,rejected_metadata_scope,Rejected because the local term is outside the provenance and publication-metadata scope.
https://w3id.org/h2kg/hydrogen-ontology#ContactAngleMeasurement,Contact Angle Measurement,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.654,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
https://w3id.org/h2kg/hydrogen-ontology#CrackCharacterizationMeasurement,Crack Characterization Measurement,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.623,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
https://w3id.org/h2kg/hydrogen-ontology#CriticalCrackThicknessMeasurement,Critical Crack Thickness Measurement,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.603,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
https://w3id.org/h2kg/hydrogen-ontology#CrushStrengthMeasurement,Crush Strength Measurement,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.566,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
