local_iri,local_label,local_kind,relation,target_iri,target_label,target_kind,source,score,status,rationale
https://w3id.org/h2kg/hydrogen-ontology#Agent,Agent,class,rdfs:subClassOf,http://www.w3.org/ns/prov#Agent,Agent,class,prov-o,0.99,manual_override,Agent should remain local while anchored in PROV-O.
https://w3id.org/h2kg/hydrogen-ontology#AggregateAspectRatio,Aggregate Aspect Ratio,controlled_vocabulary_term,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00006044,creates specification,object_property,hdo,0.651,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#AggregateAspectRatio,Aggregate Aspect Ratio,controlled_vocabulary_term,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00006028,semantic artefact,class,hdo,0.564,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#AggregateAspectRatio,Aggregate Aspect Ratio,controlled_vocabulary_term,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00007033,directed graph specification,class,hdo,0.56,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#AnnealingDuration,Annealing Duration,controlled_vocabulary_term,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00000025,Information,class,hdo,0.552,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#ComponentMolarRatio,Component Molar Ratio,controlled_vocabulary_term,skos:closeMatch,http://purl.obolibrary.org/obo/IAO_0000030,information content entity,class,hdo,0.553,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#ConcentrationExponent,Concentration Exponent,controlled_vocabulary_term,skos:closeMatch,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,class,hdo,0.636,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#CrackAspectRatio,Crack Aspect Ratio,controlled_vocabulary_term,skos:closeMatch,http://purl.obolibrary.org/obo/IAO_0000104,plan specification,class,hdo,0.556,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#Data,Data,class,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00000009,Daten,class,hdo,0.747,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#Data,Data,class,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00000116,Datei,class,hdo,0.747,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#Data,Data,class,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00000107,Datenbank,class,hdo,0.695,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#Data,Data,class,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00001037,Datensatz,class,hdo,0.695,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#Data,Data,class,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00001039,Data Lake,class,hdo,0.695,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#DataPoint,Data Point,class,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00002013,FAIR data,class,hdo,0.712,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#DataPoint,Data Point,class,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00007008,obsolete data,class,hdo,0.689,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#DataPoint,Data Point,class,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00000108,digital repository,class,hdo,0.651,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#DataPoint,Data Point,class,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00001069,simulation data,class,hdo,0.64,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#DataPoint,Data Point,class,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00000007,Datentyp,class,hdo,0.636,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#DesignedPorosity,Designed Porosity,controlled_vocabulary_term,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00000108,digital repository,class,hdo,0.571,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#DryingDuration,Drying Duration,controlled_vocabulary_term,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00000025,Information,class,hdo,0.615,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#DryingDuration,Drying Duration,controlled_vocabulary_term,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00006025,Datentypinformation,class,hdo,0.588,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#DryingDuration,Drying Duration,controlled_vocabulary_term,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00005003,misinformation,class,hdo,0.552,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#DyeConcentration,Dye Concentration,controlled_vocabulary_term,skos:closeMatch,http://purl.obolibrary.org/obo/IAO_0000030,information content entity,class,hdo,0.558,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#ECSABasis,ECSA Basis,controlled_vocabulary_term,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00006037,accesses,object_property,hdo,0.556,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#ElectrodeSubstrate,Electrode Substrate,controlled_vocabulary_term,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00000121,DEPRECATED unstructured,class,hdo,0.571,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
